line,capacity
1,27.277438455074908
2,-101.0867623611833
3,6.327593906108632
4,-54.51690360637377
5,21.415952061448195
6,128.0973889941347
7,-264.1696699009556
8,-100.68861360637378
9,63.47177193108082
10,-78.82412793855175
11,-78.13674
12,-108.71456665286641
13,-75.97227334713362
14,-83.29469871206472
15,-106.3370275530408
16,-98.90396453318591
17,-121.946293374162
18,-20.885227573723945
19,-161.3134356715267
20,-7.498731770871167
21,-230.78458915633166
22,-193.53661434459485
23,-249.99999999999994
24,2.742053967201713
25,-352.0990866204325
26,264.1696699009557
27,-300.49909594872736
28,155.88721850092645
29,-57.28620063520384
30,-248.21289531352386
31,14.94110436479616
32,42.23377850092647
33,-37.678796499073535
34,38.212895313523404
