Hour,Node,Quantity (MW),Price ($/MWh)
1,19,113.65344,14.020502859634899
2,19,106.86816,14.020502859634899
3,19,101.7792,14.020502859634899
4,19,100.08288,14.020502859634899
5,19,100.08288,14.020502859634899
6,19,101.7792,14.020502859634899
7,19,125.52767999999999,14.020502859634899
8,19,145.88352,14.020502859634899
9,19,161.1504,14.020502859634899
10,19,162.84672,14.020502859634899
11,19,162.84672,14.020502859634899
12,19,161.1504,14.020502859634899
13,19,161.1504,14.020502859634899
14,19,161.1504,14.020502859634899
15,19,157.75776000000002,14.020502859634899
16,19,157.75776000000002,14.020502859634899
17,19,167.93568,14.020502859634899
18,19,169.632,14.020502859634899
19,19,169.632,14.020502859634899
20,19,162.84672,14.020502859634899
21,19,154.36512,14.020502859634899
22,19,140.79456,14.020502859634899
23,19,123.83136,14.020502859634899
24,19,106.86816,14.020502859634899
