Date,hour,price
2023-01-01,0,2.01
2023-01-01,1,1.38
2023-01-01,2,0.09
2023-01-01,3,0.08
2023-01-01,4,0.05
2023-01-01,5,0
2023-01-01,6,-0.38
2023-01-01,7,0
2023-01-01,8,0
2023-01-01,9,0.04
2023-01-01,10,0.8
2023-01-01,11,0.08
2023-01-01,12,0.04
2023-01-01,13,0
2023-01-01,14,0.85
2023-01-01,15,23.53
2023-01-01,16,36.54
2023-01-01,17,46.03
2023-01-01,18,55.57
2023-01-01,19,54.95
2023-01-01,20,49.23
2023-01-01,21,44.99
2023-01-01,22,45.96
2023-01-01,23,35
2023-01-02,0,57.91
2023-01-02,1,51.67
2023-01-02,2,52.93
2023-01-02,3,44.16
2023-01-02,4,50.08
2023-01-02,5,77.09
2023-01-02,6,105.08
2023-01-02,7,140.64
2023-01-02,8,145.98
2023-01-02,9,147.05
2023-01-02,10,145.61
2023-01-02,11,143.35
2023-01-02,12,144.38
2023-01-02,13,143.76
2023-01-02,14,148.2
2023-01-02,15,155.34
2023-01-02,16,162.89
2023-01-02,17,170
2023-01-02,18,174.74
2023-01-02,19,164.46
2023-01-02,20,153
2023-01-02,21,141.67
2023-01-02,22,134.91
2023-01-02,23,124.22
2023-01-03,0,130.01
2023-01-03,1,120
2023-01-03,2,118.76
2023-01-03,3,115
2023-01-03,4,113.63
2023-01-03,5,116.27
2023-01-03,6,138.92
2023-01-03,7,159.92
2023-01-03,8,169.17
2023-01-03,9,171.18
2023-01-03,10,168.57
2023-01-03,11,169.49
2023-01-03,12,164.5
2023-01-03,13,160.91
2023-01-03,14,163.06
2023-01-03,15,167.73
2023-01-03,16,166.61
2023-01-03,17,170.72
2023-01-03,18,168.93
2023-01-03,19,160.99
2023-01-03,20,149.62
2023-01-03,21,130.99
2023-01-03,22,114.27
2023-01-03,23,93.66
2023-01-04,0,80.89
2023-01-04,1,70.67
2023-01-04,2,40
2023-01-04,3,8.68
2023-01-04,4,0.85
2023-01-04,5,11.02
2023-01-04,6,61.02
2023-01-04,7,79.2
2023-01-04,8,84.2
2023-01-04,9,83.32
2023-01-04,10,70.07
2023-01-04,11,79.74
2023-01-04,12,80.89
2023-01-04,13,79.72
2023-01-04,14,80.22
2023-01-04,15,79.74
2023-01-04,16,80.82
2023-01-04,17,86.16
2023-01-04,18,72.28
2023-01-04,19,66.61
2023-01-04,20,43.2
2023-01-04,21,31.25
2023-01-04,22,34.96
2023-01-04,23,9.09
2023-01-05,0,0.09
2023-01-05,1,0.1
2023-01-05,2,0.12
2023-01-05,3,0.12
2023-01-05,4,2.23
2023-01-05,5,10.07
2023-01-05,6,61.04
2023-01-05,7,87.19
2023-01-05,8,95.84
2023-01-05,9,125.55
2023-01-05,10,131.92
2023-01-05,11,143.07
2023-01-05,12,140.91
2023-01-05,13,142.58
2023-01-05,14,151.03
2023-01-05,15,159.48
2023-01-05,16,172.73
2023-01-05,17,194.7
2023-01-05,18,194.67
2023-01-05,19,177.98
2023-01-05,20,163.99
2023-01-05,21,152
2023-01-05,22,144.64
2023-01-05,23,127
2023-01-06,0,107.21
2023-01-06,1,101.1
2023-01-06,2,96.73
2023-01-06,3,82.34
2023-01-06,4,81.93
2023-01-06,5,84.03
2023-01-06,6,97.25
2023-01-06,7,106.51
2023-01-06,8,120.7
2023-01-06,9,116.86
2023-01-06,10,112.85
2023-01-06,11,113.37
2023-01-06,12,115
2023-01-06,13,109.78
2023-01-06,14,119.71
2023-01-06,15,125.83
2023-01-06,16,139.57
2023-01-06,17,155.22
2023-01-06,18,150.09
2023-01-06,19,146.15
2023-01-06,20,139.1
2023-01-06,21,131.8
2023-01-06,22,129.94
2023-01-06,23,121.3
2023-01-07,0,97.15
2023-01-07,1,98.43
2023-01-07,2,96.05
2023-01-07,3,87.97
2023-01-07,4,82.99
2023-01-07,5,83.59
2023-01-07,6,90.76
2023-01-07,7,103.21
2023-01-07,8,111.86
2023-01-07,9,112
2023-01-07,10,100
2023-01-07,11,88.32
2023-01-07,12,87.9
2023-01-07,13,94.05
2023-01-07,14,88.98
2023-01-07,15,85.56
2023-01-07,16,94.1
2023-01-07,17,96.81
2023-01-07,18,99.52
2023-01-07,19,94.58
2023-01-07,20,87.86
2023-01-07,21,61.47
2023-01-07,22,50
2023-01-07,23,38.25
2023-01-08,0,10.93
2023-01-08,1,9.07
2023-01-08,2,9.1
2023-01-08,3,4.16
2023-01-08,4,5.58
2023-01-08,5,9.92
2023-01-08,6,9.02
2023-01-08,7,16.47
2023-01-08,8,49.42
2023-01-08,9,82.8
2023-01-08,10,93.7
2023-01-08,11,103.87
2023-01-08,12,101.69
2023-01-08,13,99
2023-01-08,14,104.29
2023-01-08,15,103.64
2023-01-08,16,109.11
2023-01-08,17,118.04
2023-01-08,18,122.61
2023-01-08,19,109.11
2023-01-08,20,103.93
2023-01-08,21,98.43
2023-01-08,22,99.37
2023-01-08,23,81.34
2023-01-09,0,75.13
2023-01-09,1,64.38
2023-01-09,2,60.28
2023-01-09,3,39.41
2023-01-09,4,47.25
2023-01-09,5,69.07
2023-01-09,6,107.13
2023-01-09,7,160
2023-01-09,8,180
2023-01-09,9,177.14
2023-01-09,10,159.07
2023-01-09,11,160.57
2023-01-09,12,140.56
2023-01-09,13,137.67
2023-01-09,14,143.57
2023-01-09,15,151.02
2023-01-09,16,161.96
2023-01-09,17,174.34
2023-01-09,18,182.18
2023-01-09,19,170.24
2023-01-09,20,160.51
2023-01-09,21,138.93
2023-01-09,22,132
2023-01-09,23,108.31
2023-01-10,0,106.02
2023-01-10,1,96.71
2023-01-10,2,95.14
2023-01-10,3,90.36
2023-01-10,4,95.61
2023-01-10,5,108.6
2023-01-10,6,138.13
2023-01-10,7,154.73
2023-01-10,8,165.33
2023-01-10,9,160.42
2023-01-10,10,154.73
2023-01-10,11,146.45
2023-01-10,12,141.22
2023-01-10,13,141.68
2023-01-10,14,145.41
2023-01-10,15,145.92
2023-01-10,16,140.11
2023-01-10,17,146.34
2023-01-10,18,138.8
2023-01-10,19,124.44
2023-01-10,20,106.15
2023-01-10,21,86.53
2023-01-10,22,81.3
2023-01-10,23,42.96
2023-01-11,0,5
2023-01-11,1,0.16
2023-01-11,2,0.08
2023-01-11,3,0.01
2023-01-11,4,0.04
2023-01-11,5,2.75
2023-01-11,6,57.88
2023-01-11,7,91.11
2023-01-11,8,127.44
2023-01-11,9,126.54
2023-01-11,10,127.63
2023-01-11,11,124.81
2023-01-11,12,117.47
2023-01-11,13,110.54
2023-01-11,14,115.74
2023-01-11,15,117.7
2023-01-11,16,119.2
2023-01-11,17,128.28
2023-01-11,18,128.76
2023-01-11,19,122.7
2023-01-11,20,114.56
2023-01-11,21,93.47
2023-01-11,22,91.71
2023-01-11,23,68.54
2023-01-12,0,19.88
2023-01-12,1,5.55
2023-01-12,2,4.69
2023-01-12,3,0.1
2023-01-12,4,2.73
2023-01-12,5,24.94
2023-01-12,6,85.72
2023-01-12,7,111.55
2023-01-12,8,106.83
2023-01-12,9,97.83
2023-01-12,10,99.81
2023-01-12,11,101.1
2023-01-12,12,100.19
2023-01-12,13,99.64
2023-01-12,14,100.77
2023-01-12,15,102.13
2023-01-12,16,101.43
2023-01-12,17,112.01
2023-01-12,18,119.49
2023-01-12,19,100.79
2023-01-12,20,99.35
2023-01-12,21,84.77
2023-01-12,22,70.43
2023-01-12,23,39.57
2023-01-13,0,32.64
2023-01-13,1,16.99
2023-01-13,2,9
2023-01-13,3,2.65
2023-01-13,4,3.35
2023-01-13,5,25.26
2023-01-13,6,54.74
2023-01-13,7,87.88
2023-01-13,8,105.95
2023-01-13,9,100.64
2023-01-13,10,94.85
2023-01-13,11,84.93
2023-01-13,12,76.53
2023-01-13,13,70.24
2023-01-13,14,73.55
2023-01-13,15,79.85
2023-01-13,16,85.31
2023-01-13,17,96.9
2023-01-13,18,96.97
2023-01-13,19,95.91
2023-01-13,20,84.94
2023-01-13,21,76.89
2023-01-13,22,76.51
2023-01-13,23,68.3
2023-01-14,0,25.68
2023-01-14,1,34.62
2023-01-14,2,44.7
2023-01-14,3,41.23
2023-01-14,4,40.7
2023-01-14,5,40.68
2023-01-14,6,45.1
2023-01-14,7,53.4
