hour,node,lower_bound,upper_bound
14,1,-0.0,-7.748058021414611
14,2,-0.0,-3.3451233070330613
14,13,-0.0,-2.518335680187887
14,14,-0.0,-6.748028058382275
14,15,-0.0,-4.510120022153755
14,16,-0.0,-2.4461253737329702
14,18,-0.0,-3.4862153651079595
14,19,-0.0,-3.1305028596349
14,20,-0.0,-6.876528633237534
14,3,-0.0,-5.212901343880354
14,4,-0.0,-9.287398611507289
14,5,-0.0,-8.082195581803951
14,6,1.1015211597146575,-0.0
14,7,-0.0,-5.120414635943515
14,8,-0.0,-1.5647210578630428
14,9,-0.0,-1.720121597906207
14,10,-0.0,-3.378829955484308
