hour,market_price_zone1,market_price_zone2,market_price_zone3
1,12.610121597906208,10.52,6.02
2,12.610121597906208,10.52,6.02
3,12.454721057863043,10.52,6.02
4,12.454721057863043,10.52,6.02
5,12.454721057863043,10.52,6.02
6,12.454721057863043,10.52,6.02
7,12.610121597906208,10.52,6.02
8,12.610121597906208,10.52,6.02
9,13.32,10.89,6.02
10,13.32,10.89,6.02
11,13.32,10.89,6.02
12,13.32,10.89,10.52
13,13.32,10.89,10.52
14,13.32,10.89,10.52
15,13.32,10.89,10.52
16,13.32,10.89,10.52
17,13.32,10.89,10.52
18,13.32,10.89,10.52
19,13.32,10.89,10.52
20,13.32,10.89,10.52
21,13.32,10.52,6.02
22,12.610121597906208,10.52,6.02
23,12.610121597906208,10.52,6.02
24,12.454721057863043,10.52,6.02
