hour,market_price,total_demand,total_bat,total_supply
1,10.52,1690.5949199999998,0.0,1690.59492
2,9.788478840285345,1641.912660907956,0.0,1641.9126609079558
3,7.0,1590.3,54.0,1650.3
4,7.0,1563.7950000000003,108.0,1623.795
5,7.0,1563.7950000000003,162.0,1623.7950000000003
6,7.0,1590.3,216.0,1650.3
7,9.788478840285345,1897.8163797041136,216.0,1897.8163797041143
8,10.52,2170.0173600000003,215.99999999999974,2170.01736
9,10.52,2397.1121999999996,215.99999999999966,2397.1122
10,10.89,2422.3449600000004,208.67855717844435,2415.7556614606
11,10.89,2422.3449600000004,175.5427724516298,2392.5227537458672
12,10.89,2397.1121999999996,108.87610578496295,2337.1122
13,10.89,2397.1121999999996,42.20943911829627,2337.1122
14,10.89,2397.1121999999996,-1.021405182655144e-14,2359.1237047935338
15,10.89,2346.64668,-1.0658141036401503e-14,2346.64668
16,10.89,2346.64668,-1.0658141036401503e-14,2346.64668
17,10.89,2498.04324,-1.0658141036401503e-14,2498.0432400000004
18,10.89,2523.2760000000003,-1.0658141036401503e-14,2523.276
19,10.89,2523.2760000000003,-1.0658141036401503e-14,2523.276
20,10.89,2422.3449600000004,-1.0658141036401503e-14,2422.3449600000004
21,10.52,2296.1811599999996,-1.0658141036401503e-14,2296.18116
22,10.52,2094.31908,-1.0658141036401503e-14,2094.31908
23,9.788478840285345,1856.21973527515,-1.0658141036401503e-14,1856.2197352751502
24,7.0,1669.8150000000003,-1.0658141036401503e-14,1669.815
