scenario,profit
1,192656.394926969
2,76290.91940801636
3,315867.3937962164
4,434331.3141602613
5,29458.047875976165
6,208512.79148574627
7,1633.2688901006804
8,122247.49797620223
9,83143.13385484894
10,18749.517037737132
11,29311.19391276146
12,53841.901347776715
13,40191.786522933886
14,198539.6315765621
15,118209.2379709075
16,346309.47223225306
17,104243.86552346165
18,39487.867558286736
19,143991.96827126548
20,103954.20571562472
21,28570.822717544906
22,33249.57339122873
23,111160.29959771437
24,190508.37292753748
25,72854.13895331335
26,149339.67814720082
27,243028.3139047527
28,97587.95773439079
29,170076.77352414283
30,91146.88141597994
31,256961.44605501834
32,547907.6693944583
33,82495.62696715203
34,214611.82213306866
35,265505.64549312554
36,195088.75778270594
37,77303.21232385168
38,6337.090638791743
39,332482.75143058656
40,86965.34320571774
41,77303.21232385168
42,97222.353511769
43,18903.65180623358
44,27351.039169960866
45,143697.3075738837
46,204026.5743810509
47,135277.00523593338
48,62967.59940422445
49,230734.7673094413
50,118793.93564775583
51,137889.0329096209
52,54872.548358790445
53,265383.3504398617
54,18757.120973371682
55,26607.895250018384
56,150988.53816332488
57,122902.40295064703
58,86623.46829306218
59,126078.88438913223
60,125947.69978638292
61,77980.03980202996
62,122879.84484159833
63,76120.92710123766
64,104871.08113150416
65,174321.65357694405
66,32204.599489363
67,103798.85143647324
68,105920.50999040328
69,327767.52818644355
70,9241.68384257803
71,332482.75143058656
72,123312.66981291771
73,189820.73864658672
74,44308.65629191984
75,9398.901280929937
76,333723.89178344107
77,69866.63637229605
78,11599.884008838551
79,157311.08705582013
80,125856.60189964065
81,1286.6847781067117
82,258365.1370442246
83,205045.24819523978
84,151044.61208976142
85,430322.3531213338
86,198908.85928689945
87,52317.04485931981
88,103954.20571562472
89,198908.85928689945
90,125629.82641525744
91,107165.71286025451
92,140948.247370125
93,68211.89353521854
94,289683.2789527125
95,76959.8016953285
96,153833.99418897086
97,18832.75712147271
98,38560.72711400594
99,264450.58209512325
100,19732.347269564776
101,137585.0299062625
102,414385.9115663629
103,67600.92630342022
104,123706.46385026892
105,40057.00268644961
106,9368.541832820578
107,30558.237648706134
108,9368.541832820578
109,183936.74391860975
110,13681.50617636449
111,61358.76576291347
112,30558.237648706134
113,71358.73716831961
114,52317.04485931981
115,14530.062223617935
116,58497.53359508242
117,286310.1157903495
118,57029.91687586461
119,299057.3018508244
120,11592.428047130968
121,9032.201453359612
122,147672.52669815745
123,252269.52813000992
124,29165.9515455799
125,9620.263022939807
126,243028.3139047527
127,57263.51796569528
128,123312.66981291771
129,17016.505847163906
130,14768.47703747547
131,134516.42161411123
132,118793.93564775583
133,179830.39569823298
134,97456.83516653978
135,186195.03693228634
136,195088.75778270594
137,28987.188623242266
138,138672.6988167075
139,179579.84810670567
140,346309.47223225306
141,180579.94147572515
142,237328.10663602623
143,265771.22998046386
144,40833.869247222
145,57934.53503516324
146,76120.92710123766
147,204292.54809851598
148,13643.003968374771
149,66653.24671329887
150,16886.504979080906
151,212372.76544512005
152,183936.74391860975
153,94855.86278973172
154,11642.911784332162
155,108826.43214980063
156,110089.83799166724
157,69527.34678273891
158,143381.42183815374
159,55747.78858326639
160,66689.89809803455
161,184967.37435577266
162,146018.459845786
163,149339.67814720082
164,34444.79838400692
165,77980.03980202996
166,348449.3949178743
167,471318.26778671704
168,105972.95303133062
169,266120.14977831335
170,29931.420321847392
171,194172.77746336907
172,46830.94334501342
173,264292.8667755608
174,155398.88904672093
175,122196.18808955626
176,108457.12831935257
177,67451.66732196113
178,76659.91306031556
179,6785.373050601129
180,188719.25310075114
181,117641.27441620233
182,186546.23601948438
183,381844.9183493971
184,1243.278215070034
185,159333.84509470066
186,66676.20248659635
187,27213.787122538582
188,153051.74799282724
189,157311.08705582013
190,87064.17485515922
191,257983.49759010988
192,40706.066392527515
193,12508.138059214969
194,71358.73716831961
195,27304.665027620707
196,179579.84810670567
197,56178.43555393518
198,143071.21990523193
199,152646.47339341315
200,139252.3827132174
201,53604.713669397424
202,8306.816220631712
203,14530.062223617935
204,20361.774734745708
205,107165.71286025451
206,289683.2789527125
207,248550.4409879715
208,432311.6414433994
209,174321.65357694405
210,28673.24038654878
211,6785.373050601129
212,145391.14359565626
213,87245.25623408156
214,129630.82958013311
215,195177.34661539528
216,307593.0289250031
217,62816.57652112786
218,189025.2532849793
219,71140.59984521866
220,7203.793916773033
221,17606.535529560948
222,140948.247370125
223,43409.99950256488
224,67777.78500106653
225,118291.0503314888
226,39275.6253894214
227,151920.6313217232
228,380225.7543627887
229,277063.78839328117
230,265383.3504398617
231,7583.061342165676
232,143991.96827126548
233,96886.88387891608
234,180412.66081686097
235,170076.77352414283
236,134596.39124354252
237,115499.20259229101
238,119288.09089829876
239,258835.9938564419
240,285562.6214694234
241,204292.54809851598
242,360594.1961755971
243,113876.30174488485
244,33332.30306644029
245,56179.71544354115
246,188386.3521620411
247,32230.452743022503
248,45603.60462230111
249,207540.7048080617
250,92157.08449319284
