betas,objective_values,exp_profits,CVaR_values
0.0,151705.65829751547,151705.65829751402,6167.79397229375
0.1,138172.97773360196,151705.65829751402,16378.852658392585
0.2,124640.29716968954,151705.65829751402,16378.852658392583
0.3,111107.61660577769,151705.65829751402,16378.852658392581
0.4,97589.83741737567,151580.8368590415,16603.33825487541
0.5,84110.34625829244,151435.33614229262,16785.35637429046
0.6,70645.34828149145,151435.33614229262,16785.356374290455
0.7,57218.6214018778,151170.80094988697,16953.401595588024
0.8,43796.881466447885,151170.80094988694,16953.40159558802
0.9,30375.14153101792,151170.80094988694,16953.401595588002
1.0,16953.401595588028,151170.80094988697,16953.401595588024
