alpha,beta,exp_profits,CVaR_values
0.7,0.0,151705.65829751402,6226.756922117326
0.7,0.1,151705.65829751402,41057.67043512238
0.7,0.2,151705.65829751402,41057.67043512236
0.7,0.3,151705.65829751402,41057.67043512234
0.7,0.4,151666.65634799888,41123.53369241088
0.7,0.5,151666.65634799888,41123.533692410914
0.7,0.6,151660.84621859237,41128.05234712591
0.7,0.7,151624.4312858211,41146.80577967588
0.7,0.8,151601.28734021581,41155.03699901326
0.7,0.9,151477.48549946773,41183.99138122579
0.7,1.0,151477.48549946773,41183.99138122584
0.8,0.0,151705.65829751402,6212.016184661432
0.8,0.1,151705.65829751402,28984.199878558793
0.8,0.2,151705.65829751402,28984.199878558782
0.8,0.3,151645.8437713616,29191.36080168213
0.8,0.4,151571.1390804248,29324.068325036867
0.8,0.5,151502.64689459582,29403.546942910216
0.8,0.6,151502.64689459585,29403.54694291022
0.8,0.7,151415.95029751398,29445.593798193524
0.8,0.8,151415.95029751398,29445.593798193524
0.8,0.9,151415.95029751403,29445.59379819353
0.8,1.0,151415.95029751398,29445.593798193513
0.9,0.0,151705.65829751402,6167.79397229375
0.9,0.1,151705.65829751402,16378.852658392585
0.9,0.2,151705.65829751402,16378.852658392583
0.9,0.3,151705.65829751402,16378.852658392581
0.9,0.4,151580.8368590415,16603.33825487541
0.9,0.5,151435.33614229262,16785.35637429046
0.9,0.6,151435.33614229262,16785.356374290455
0.9,0.7,151170.80094988697,16953.401595588024
0.9,0.8,151170.80094988694,16953.40159558802
0.9,0.9,151170.80094988694,16953.401595588002
0.9,1.0,151170.80094988697,16953.401595588024
0.95,0.0,151705.65829751402,6079.349547558384
0.95,0.1,151705.65829751402,10677.300154208668
0.95,0.2,151541.55269751395,11488.565065394181
0.95,0.3,151453.3092201699,11809.603435730945
0.95,0.4,151414.4948512515,11875.633726982687
0.95,0.5,151279.26091404588,12028.993254016947
0.95,0.6,151259.1083744962,12048.111842507073
0.95,0.7,151259.10837449617,12048.111842507074
0.95,0.8,151259.10837449617,12048.111842507074
0.95,0.9,151259.10837449617,12048.111842507076
0.95,1.0,151259.10837449617,12048.111842507078
