betas,objective_values,exp_profits,CVaR_values
0.0,130697.43588726835,130697.4358872683,6119.726263387715
0.1,118585.52056249297,130690.065234197,9644.61851715785
0.2,106492.50638153074,130663.73921369344,9807.57505287646
0.3,94410.41436246297,130641.8542657911,9870.387921363874
0.4,82337.46590595222,130591.9884283311,9955.68212238385
0.5,70286.24881879063,130490.29224972735,10082.205387853151
0.6,58267.802919838636,130183.02816132198,10324.319425516402
0.7,46298.4686127767,129997.0258090001,10427.658385823914
0.8,34343.112289746656,129969.43318080927,10436.532066980997
0.9,22399.292230249746,129743.68116920897,10472.137903698736
1.0,10472.137903698733,129726.32730835814,10472.137903698736
