Hour,Average price,Demand_curtail1,Demand_curtail2,Demand_curtail3,Demand_curtail4,Demand_curtail5,Demand_curtail6,Demand_curtail7,Demand_curtail8,Demand_curtail9,Demand_curtail10,Demand_curtail11,Demand_curtail12,Demand_curtail13,Demand_curtail14,Demand_curtail15,Demand_curtail16,Demand_curtail17
1,500,501,512,495,508,475,484,513,497,486,482,522,482,482,499,495,484,478
2,500,489,491,521,495,478,519,501,496,500,496,509,523,490,497,517,509,511
3,500,511,506,482,478,484,498,493,482,483,481,515,477,504,496,501,475,504
4,500,504,516,507,500,503,483,509,485,483,513,524,492,511,525,490,479,492
5,500,523,521,486,521,517,515,522,484,500,478,478,514,497,507,503,491,524
6,500,501,516,523,504,475,484,480,481,502,505,499,491,524,487,515,514,492
7,500,503,480,519,523,494,513,499,525,516,503,476,480,486,485,479,492,490
8,500,489,512,505,489,525,497,503,490,522,477,490,511,479,494,521,484,494
9,500,513,514,504,512,520,497,503,476,511,501,498,494,509,510,477,500,521
10,500,479,506,484,519,481,512,482,508,514,502,502,489,514,501,500,510,489
11,500,503,515,499,524,480,492,501,480,518,518,514,489,511,497,510,497,479
12,500,483,483,498,517,517,499,502,504,501,496,518,477,509,517,514,488,515
13,500,497,506,502,516,488,496,508,515,501,496,489,523,520,488,485,502,488
14,500,497,496,523,491,501,483,524,486,524,496,485,509,522,486,509,503,524
15,500,524,517,485,500,505,476,478,506,504,494,518,510,524,504,509,488,509
16,500,485,520,520,484,518,508,516,524,492,477,505,515,494,503,483,506,504
17,500,495,515,494,477,489,499,510,521,489,485,515,476,483,513,489,508,525
18,500,498,494,493,509,483,521,519,484,500,478,499,487,520,504,506,515,477
19,500,497,499,521,504,488,481,486,524,502,477,495,479,477,503,478,515,476
20,500,500,509,515,504,522,496,497,493,479,498,508,497,521,484,525,497,476
21,500,483,495,520,490,501,492,496,484,524,510,511,503,520,521,513,514,478
22,500,518,513,515,500,523,505,481,494,491,482,507,477,513,498,503,498,495
23,500,507,511,520,484,494,483,485,524,490,489,486,523,492,477,517,480,475
24,500,481,479,485,482,521,516,497,514,514,506,517,520,516,481,479,480,501
