Hour,Total cons,Demand_cons1,Demand_cons2,Demand_cons3,Demand_cons4,Demand_cons5,Demand_cons6,Demand_cons7,Demand_cons8,Demand_cons9,Demand_cons10,Demand_cons11,Demand_cons12,Demand_cons13,Demand_cons14,Demand_cons15,Demand_cons16,Demand_cons17
1,2207,84.00,75.00,139.00,58.00,55.00,106.00,97.00,132.00,135.00,150.00,205.00,150.00,245.00,77.00,258.00,141.00,100.00
2,2075,78.99,70.52,130.70,54.54,51.72,99.67,91.21,124.12,126.94,141.05,192.76,141.05,230.37,72.40,242.60,132.58,94.03
3,1976,75.22,67.16,124.48,51.94,49.25,94.93,86.87,118.21,120.90,134.33,183.58,134.33,219.40,68.96,231.04,126.27,89.55
4,1943,73.97,66.04,122.40,51.07,48.43,93.34,85.42,116.24,118.88,132.09,180.52,132.09,215.75,67.81,227.19,124.16,88.06
5,1943,73.97,66.04,122.40,51.07,48.43,93.34,85.42,116.24,118.88,132.09,180.52,132.09,215.75,67.81,227.19,124.16,88.06
6,1976,75.22,67.16,124.48,51.94,49.25,94.93,86.87,118.21,120.90,134.33,183.58,134.33,219.40,68.96,231.04,126.27,89.55
7,2438,92.78,82.84,153.52,64.06,60.75,117.07,107.13,145.79,149.10,165.67,226.42,165.67,270.60,85.04,284.96,155.73,110.45
8,1590,60.52,54.04,100.14,41.79,39.63,76.37,69.89,95.10,97.26,108.07,147.70,108.07,176.51,55.48,185.88,101.59,72.05
9,1887,71.80,64.11,118.82,49.58,47.01,90.61,82.92,112.83,115.40,128.22,175.23,128.22,209.43,65.82,220.54,120.53,85.48
10,1919,73.06,65.23,120.89,50.44,47.83,92.19,84.36,114.80,117.41,130.46,178.29,130.46,213.08,66.97,224.39,122.63,86.97
11,1919,73.06,65.23,120.89,50.44,47.83,92.19,84.36,114.80,117.41,130.46,178.29,130.46,213.08,66.97,224.39,122.63,86.97
12,1887,71.80,64.11,118.82,49.58,47.01,90.61,82.92,112.83,115.40,128.22,175.23,128.22,209.43,65.82,220.54,120.53,85.48
13,1887,71.80,64.11,118.82,49.58,47.01,90.61,82.92,112.83,115.40,128.22,175.23,128.22,209.43,65.82,220.54,120.53,85.48
14,1887,71.80,64.11,118.82,49.58,47.01,90.61,82.92,112.83,115.40,128.22,175.23,128.22,209.43,65.82,220.54,120.53,85.48
15,1821,69.30,61.87,114.67,47.85,45.37,87.44,80.02,108.89,111.37,123.74,169.11,123.74,202.11,63.52,212.84,116.32,82.49
16,1821,69.30,61.87,114.67,47.85,45.37,87.44,80.02,108.89,111.37,123.74,169.11,123.74,202.11,63.52,212.84,116.32,82.49
17,2018,76.82,68.59,127.12,53.04,50.30,96.94,88.71,120.71,123.46,137.17,187.47,137.17,224.05,70.42,235.94,128.94,91.45
18,2051,78.07,69.71,129.19,53.91,51.12,98.52,90.15,122.68,125.47,139.41,190.53,139.41,227.71,71.57,239.79,131.05,92.94
19,2051,78.07,69.71,129.19,53.91,51.12,98.52,90.15,122.68,125.47,139.41,190.53,139.41,227.71,71.57,239.79,131.05,92.94
20,1919,73.06,65.23,120.89,50.44,47.83,92.19,84.36,114.80,117.41,130.46,178.29,130.46,213.08,66.97,224.39,122.63,86.97
21,1755,66.79,59.63,110.52,46.12,43.73,84.28,77.12,104.95,107.34,119.26,162.99,119.26,194.80,61.22,205.13,112.11,79.51
22,1491,56.76,50.68,93.92,39.19,37.16,71.62,65.54,89.19,91.22,101.35,138.52,101.35,165.54,52.03,174.33,95.27,67.57
23,2405,91.52,81.72,151.45,63.19,59.93,115.49,105.69,143.82,147.09,163.43,223.36,163.43,266.94,83.90,281.11,153.63,108.96
24,2075,78.99,70.52,130.70,54.54,51.72,99.67,91.21,124.12,126.94,141.05,192.76,141.05,230.37,72.40,242.60,132.58,94.03
