
Hour,Total Demand,Generator 1,Generator 2,Generator 3,Generator 4,Generator 5,Generator 6,Generator 7,Generator 8,Generator 9,Generator 10,Generator 11,Generator 12
1,1775.84,119.97,119.97,276.24,466.45,47.36,122.34,122.34,315.70,315.70,236.78,244.67,276.24
2,1669.82,112.81,112.81,259.75,438.61,44.53,115.03,115.03,296.86,296.86,222.64,230.06,259.75
3,1590.30,107.43,107.43,247.38,417.72,42.41,109.55,109.55,282.72,282.72,212.04,219.11,247.38
4,1563.80,105.64,105.64,243.26,410.76,41.70,107.73,107.73,278.01,278.01,208.51,215.46,243.26
5,1563.80,105.64,105.64,243.26,410.76,41.70,107.73,107.73,278.01,278.01,208.51,215.46,243.26
6,1590.30,107.43,107.43,247.38,417.72,42.41,109.55,109.55,282.72,282.72,212.04,219.11,247.38
7,1961.37,132.50,132.50,305.10,515.19,52.30,135.12,135.12,348.69,348.69,261.52,270.23,305.10
8,1279.43,86.43,86.43,199.02,336.06,34.12,88.14,88.14,227.45,227.45,170.59,176.28,199.02
9,1517.98,102.55,102.55,236.13,398.72,40.48,104.57,104.57,269.86,269.86,202.40,209.14,236.13
10,1544.48,104.34,104.34,240.25,405.68,41.19,106.40,106.40,274.57,274.57,205.93,212.80,240.25
11,1544.48,104.34,104.34,240.25,405.68,41.19,106.40,106.40,274.57,274.57,205.93,212.80,240.25
12,1517.98,102.55,102.55,236.13,398.72,40.48,104.57,104.57,269.86,269.86,202.40,209.14,236.13
13,1517.98,102.55,102.55,236.13,398.72,40.48,104.57,104.57,269.86,269.86,202.40,209.14,236.13
14,1517.98,102.55,102.55,236.13,398.72,40.48,104.57,104.57,269.86,269.86,202.40,209.14,236.13
15,1464.97,98.97,98.97,227.88,384.80,39.07,100.92,100.92,260.44,260.44,195.33,201.84,227.88
16,1464.97,98.97,98.97,227.88,384.80,39.07,100.92,100.92,260.44,260.44,195.33,201.84,227.88
17,1624.00,109.71,109.71,252.62,426.57,43.31,111.88,111.88,288.71,288.71,216.53,223.75,252.62
18,1650.50,111.50,111.50,256.74,433.53,44.01,113.70,113.70,293.42,293.42,220.07,227.40,256.74
19,1650.50,111.50,111.50,256.74,433.53,44.01,113.70,113.70,293.42,293.42,220.07,227.40,256.74
20,1544.48,104.34,104.34,240.25,405.68,41.19,106.40,106.40,274.57,274.57,205.93,212.80,240.25
21,1411.96,95.39,95.39,219.64,370.87,37.65,97.27,97.27,251.02,251.02,188.26,194.54,219.64
22,1199.92,81.06,81.06,186.65,315.18,32.00,82.66,82.66,213.32,213.32,159.99,165.32,186.65
23,1934.87,130.71,130.71,300.98,508.23,51.60,133.29,133.29,343.98,343.98,257.98,266.58,300.98
24,1669.82,112.81,112.81,259.75,438.61,44.53,115.03,115.03,296.86,296.86,222.64,230.06,259.75
