hour,node,lower_bound,upper_bound
15,1,-0.0,-1.3192963323734155
15,2,-0.0,-2.236796872845524
15,13,-0.0,-2.6766382739410908
15,14,-0.0,-2.461717529759909
15,15,-0.0,-1.7446983693288587
15,16,-0.0,-1.3058223183934317
15,18,-0.0,-2.0951756621100586
15,19,0.3209295137786299,-0.0
15,20,-0.0,-1.4501181659150006
15,3,-0.0,-1.760767271113906
15,4,-0.0,-1.206296715315485
15,5,-0.0,-2.383204476528153
15,6,-0.0,-1.7273572542961873
15,7,-0.0,-2.905825379042277
15,8,-0.0,-0.0
15,9,-0.0,-3.3629232088549053
15,10,-0.0,-0.5203326826267407
