hour,x_bat1,x_bat2,x_bat3,x_bat4,x_bat5
1,15.0,0.0,0.0,-1.4921397450962104e-13,5.0
2,15.0,10.0,10.0,0.0,0.0
3,15.0,10.0,10.0,20.0,5.0
4,15.0,10.0,10.0,20.00000000000015,5.0
5,15.0,10.0,10.0,20.0,5.0
6,15.0,10.0,10.0,15.0,5.0
7,10.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,-9.21949716415233,-10.0,0.0,0.0,0.0
10,9.21949716415233,10.0,7.105427357601002e-14,0.0,0.0
11,-15.0,-10.0,-10.0,-20.0,-5.0
12,-15.0,-10.0,-10.0,-20.0,-5.0
13,-15.0,-10.0,-10.0,-20.0,-5.0
14,-15.0,-10.0,-10.0,-15.0,-5.0
15,-15.0,0.0,0.0,20.0,0.0
16,5.0,10.0,9.999999999999929,20.0,5.0
17,-15.0,-10.0,-10.0,-20.0,-5.0
18,-15.0,-9.999999999999986,-10.0,-20.0,-5.0
19,15.0,10.0,10.0,20.0,5.0
20,-15.0,-10.000000000000014,-10.0,-20.0,-5.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
