hour,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,x_bat1,x_bat2,x_bat3,x_bat4,x_bat5,x_line1,x_line2,x_line3,x_line4,x_line5,x_line6,x_line7,x_line8,x_line9,x_line10,x_line11,x_line12,x_line13,x_line14,x_line15,x_line16,x_line17,x_line18,x_line19,x_line20,x_line21,x_line22,x_line23,x_line24,x_line25,x_line26,x_line27,x_line28,x_line29,x_line30,x_line31,x_line32,x_line33,x_line34
1,0.0,0.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,200.23168936650904,76.8920864543624,101.5400530249722,92.8002935849968,95.37087756915959,67.48173,60.37839,165.15265500000004,120.75678,197.117685,62.154225,207.772695,113.65344,79.912575,111.877605,46.17171,44.395875,85.24008,78.13674,106.5501,108.325935,120.75678,15.0,0.0,0.0,-20.0,0.0,68.24062063349098,-74.57503260851878,-61.147318024972186,7.862230633490974,0.0,175.0,-284.56055115415637,-38.309479366509024,-4.003139999999988,-100.24008,-78.13674,-9.686840000000004,-175.0,18.677745633490957,0.0,-400.0,0.0,-252.079034366509,-129.24322,167.23168936650904,-167.23168936650904,-250.0,-250.0,46.821763845843634,-400.0,284.56055115415637,-257.5981825691596,193.566015,-72.227305,-185.37087756915957,0.0,79.912575,0.0,-24.629122430840425
2,0.0,0.0,0.0,0.0,0.0,107.15214972553503,108.5,280.0,280.0,210.0,217.0,152.23168936650904,66.8276530643428,90.99891628229621,109.16742997448941,107.9371615868276,63.45297,56.77371000000001,155.29279500000004,113.54742000000002,185.349465,58.44352500000001,195.368355,106.86816,75.141675,105.198345,43.41519,41.745375,80.15112,73.47186,100.1889,101.858715,113.54742000000002,15.0,10.0,10.0,20.0,5.0,20.340020000000017,-34.53944871770381,-49.253541282296204,43.41519,-79.84888,101.858715,-174.76885565336102,0.0,0.0,-175.0,-73.47186,0.0,-173.66076,0.0,0.0,-231.15978499999994,-241.04839500000006,-94.70720499999996,-136.45257999999998,0.0,-251.04839500000006,-250.0,-250.0,127.03382907217399,-400.0,174.76885565336102,-277.56880658682763,313.826540633491,-282.56880658682763,0.0,-197.93716158682764,206.958380633491,131.81670563349098,-210.0
3,0.0,0.0,0.0,0.0,0.0,71.15214972553503,72.5,280.0,280.0,210.0,159.3747721789432,104.23168936650904,78.42204359934401,116.9590215696192,142.8801229812484,134.7802005788012,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,76.3344,69.9732,95.418,97.0083,108.1404,15.0,10.0,10.0,20.0,5.0,95.418,-77.86199332487904,-77.98740667512097,41.3478,0.0,175.0,-274.628849725535,0.0,-0.7858851055017695,-91.3344,-69.9732,-165.39120000000003,0.0,-87.39950000000003,0.0,-210.26068510550178,0.0,-155.8005851055018,-141.8596,303.69848510550185,-313.69848510550185,0.0,-250.0,0.0,-400.0,274.628849725535,-313.7151005788012,223.43472356004958,-318.7151005788012,0.0,-224.7802005788012,121.65552356004957,50.09202356004958,-210.0
4,0.0,0.0,0.0,0.0,0.0,52.63034015078529,36.5,280.0,280.0,210.0,211.80683235083336,56.231689366509045,64.1436865616138,134.2486022968652,159.570230399306,133.6636188740874,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06216,68.80698000000001,93.8277,95.391495,106.33806,15.0,10.0,10.0,15.0,5.0,0.0,-175.0,115.57579,0.0,-53.16903000000001,175.0,-384.37539843838624,-40.65867000000001,210.7295172968652,-143.23119000000003,-68.80698000000001,-162.63468,0.0,-123.68484500000002,0.0,-48.83973270313483,0.0,-28.862637703134837,-143.66194000000002,-10.0,0.0,-184.29557270313484,-250.0,-120.32630328760098,-400.0,384.37539843838624,-315.6996038740874,86.71070598579244,-110.69960387408744,-210.0,-13.663618874087433,-13.372174014207559,-83.74294901420755,0.0
5,0.0,0.0,0.0,0.0,0.0,16.630340150785287,0.5,280.0,280.0,210.0,161.69062029588576,101.0,102.219566645317,145.50747368477218,160.94373598175778,165.303263241482,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06216,68.80698000000001,93.8277,95.391495,106.33806,15.0,10.0,10.0,20.0,5.0,15.588168684772185,-175.0,99.98762131522781,-37.58086131522782,0.0,0.0,-171.29951835468302,-78.23953131522782,206.40022,-90.06216,-68.80698000000001,-162.63468,0.0,-248.22900500000003,-88.0367013152278,0.0,0.0,-104.56706500000001,-143.66194000000002,0.0,-98.0367013152278,-250.0,-250.0,51.74957679610223,-400.0,171.29951835468302,-347.339248241482,255.799736019342,-142.339248241482,-210.0,-45.303263241482,155.716856019342,85.34608101934202,0.0
6,0.0,0.0,0.0,0.0,0.0,36.5,36.5,280.0,280.0,194.60743931343163,89.69062029588576,149.0,134.0390017747602,131.1124910941592,157.0228819350002,161.827565586763,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,76.3344,69.9732,95.418,97.0083,108.1404,15.0,10.0,10.0,20.0,5.0,0.0,-127.40700890584083,66.97560890584083,-133.6522,79.582,175.0,-268.5569071310806,-175.0,158.33060000000003,-11.752400000000009,-69.9732,-136.9534,-28.437800000000024,-243.96169999999998,10.0,0.0,0.0,-102.10209999999998,-141.8596,0.0,0.0,-250.0,-250.0,-28.580207131080613,-400.0,268.5569071310806,-325.3699049001946,184.65207970411421,-135.762465586763,-194.60743931343163,-41.827565586763,82.87287970411423,11.309379704114235,0.0
7,48.0,48.0,0.0,0.0,0.0,72.5,72.5,280.0,280.0,210.0,161.69062029588576,197.0,146.5165713532894,153.669727383244,141.56607733051402,159.9270036370668,74.53205999999999,66.68658,182.40741000000003,133.37316,217.71207,68.64795000000001,229.48029,125.52768,88.26164999999999,123.56631,50.99562,49.03425,94.14576,86.30028,117.6822,119.64357,133.37316,10.0,0.0,0.0,0.0,0.0,18.686580000000006,-84.81370232087026,39.595062320870284,0.0,0.0,175.0,-236.86344096758083,-50.99562,144.23053970411428,-104.14576,-86.30028,-175.0,-28.982479999999995,-170.63918999999999,0.0,-122.27086029588573,0.0,-176.2832102958857,-116.62683999999999,108.69062029588574,-108.69062029588574,-250.0,-250.0,17.92448903241913,-400.0,236.86344096758083,-300.44671363706686,213.78933,-90.44671363706684,-210.0,-39.92700363706683,88.26164999999999,0.0,0.0
8,96.0,96.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,143.175808671663,163.3923909097624,155.2939323525164,170.8047068032482,86.61833999999999,77.50062,211.98699,155.00124,253.01673,79.78005,266.69330999999994,145.88352,102.57435,143.60409,59.26518,56.98575,109.41264,100.29492,136.76579999999998,139.04522999999998,155.00124,0.0,0.0,0.0,-5.763161262809888,0.0,0.0,-175.0,184.38166,0.0,18.499380000000002,175.0,-350.428281328337,-59.26518,290.7883009097624,-90.91326,-100.29492,-175.0,-62.06071999999999,-115.82485090976246,-82.48555909023752,-17.186919090237552,0.0,-38.01301000000001,-94.99876,0.0,-82.48555909023752,-250.0,-250.0,-89.18185006552712,-400.0,350.428281328337,-274.1113968032483,118.94342909023753,-274.1113968032483,0.0,-260.8047068032482,-26.940090909762475,-129.51444090976247,-210.0
9,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,163.296749986766,144.4801721911806,172.638246461947,185.318034195954,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,0.0,113.308875,158.63242499999998,65.46735000000001,62.949375,85.80824157303769,110.7909,151.0785,153.596475,171.22230000000002,0.0,0.0,0.0,5.763161262809888,0.0,175.0,-175.0,10.716949999999997,65.46735000000001,130.3215,175.0,-345.335675013234,0.0,92.2477471911806,44.513258426962295,-110.7909,-86.86939999999998,-175.0,-65.46587499999998,0.0,-29.140150000000006,-180.3211443818571,-15.828325000000007,-78.77769999999998,0.0,-180.3211443818571,-250.0,-250.0,-122.09406127604387,-400.0,345.335675013234,-260.71495919595395,81.6300193818571,-260.71495919595395,0.0,-275.31803419595394,81.6300193818571,-31.678855618142904,-210.0
10,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,172.6346996947288,104.02220460112801,166.6364003312602,178.0143568334828,96.69024,86.51232,236.63664000000003,26.15390146059974,282.43728,89.05680000000001,297.70416,162.84672,0.0,160.30224,66.15648,63.612,122.13504,111.95712000000002,152.6688,155.21328,173.02464,0.0,0.0,0.0,0.0,0.0,116.10800000000002,-175.0,68.60175999999998,135.99568000000002,0.0,175.0,-337.66754030527125,69.83920000000002,109.011964601128,-122.13504,-111.95712000000002,-89.62592000000002,-175.0,0.0,0.0,-149.147715398872,-212.0,-13.363359999999972,-135.78435539887204,0.0,-212.0,-250.0,-161.93825685947178,-111.60482030527123,-400.0,337.66754030527125,-250.3101968334828,162.84672,-40.31019683348279,-210.0,-58.01435683348279,0.0,0.0,0.0
