hour,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,x_bat1,x_bat2,x_bat3,x_bat4,x_bat5,x_line1,x_line2,x_line3,x_line4,x_line5,x_line6,x_line7,x_line8,x_line9,x_line10,x_line11,x_line12,x_line13,x_line14,x_line15,x_line16,x_line17,x_line18,x_line19,x_line20,x_line21,x_line22,x_line23,x_line24,x_line25,x_line26,x_line27,x_line28,x_line29,x_line30,x_line31,x_line32,x_line33,x_line34
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8920864543624,44.395875,62.154225,0.0,67.48173,60.37839,165.15265500000004,120.75678,197.117685,62.154225,207.772695,113.65344,79.912575,111.877605,46.17171,44.395875,85.24008,78.13674,106.5501,108.325935,120.75678,0.0,0.0,0.0,0.0,0.0,67.48173,0.0,0.0,60.37839,0.0,34.9855185456376,0.0,46.17171,0.0,85.24008,78.13674,106.5501,0.0,108.325935,0.0,120.75678,0.0,0.0,0.0,0.0,0.0,165.15265500000004,120.75678,197.117685,0.0,0.0,0.0,0.0,0.0,0.0,207.772695,113.65344,79.912575,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.8276530643428,41.745375,58.44352500000001,0.0,63.45297,56.77371000000001,155.29279500000004,113.54742000000002,185.349465,58.44352500000001,195.368355,106.86816,75.141675,105.198345,43.41519,41.745375,80.15112,73.47186,100.1889,101.858715,113.54742000000002,0.0,0.0,0.0,0.0,0.0,63.45297,0.0,0.0,56.77371000000001,0.0,38.370691935657206,0.0,43.41519,0.0,80.15112,73.47186,100.1889,0.0,101.858715,0.0,113.54742000000002,0.0,0.0,0.0,0.0,0.0,155.29279500000004,113.54742000000002,185.349465,0.0,0.0,0.0,0.0,0.0,0.0,195.368355,106.86816,75.141675,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.42204359934401,39.7575,55.660500000000006,0.0,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,76.3344,69.9732,95.418,97.0083,108.1404,0.0,0.0,0.0,0.0,0.0,60.4314,0.0,0.0,54.0702,0.0,21.766856400655996,0.0,41.3478,0.0,76.3344,69.9732,95.418,0.0,97.0083,0.0,108.1404,0.0,0.0,0.0,0.0,0.0,147.89790000000002,108.1404,176.5233,0.0,0.0,0.0,0.0,0.0,0.0,186.0651,101.7792,71.56349999999999,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1436865616138,39.094875,54.732825000000005,0.0,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06216,68.80698000000001,93.8277,95.391495,106.33806,0.0,0.0,0.0,0.0,0.0,59.42421,0.0,0.0,53.16903000000001,0.0,34.3753984383862,0.0,40.65867000000001,0.0,75.06216,68.80698000000001,93.8277,0.0,95.391495,0.0,106.33806,0.0,0.0,0.0,0.0,0.0,145.432935,106.33806,173.58124500000002,0.0,0.0,0.0,0.0,0.0,0.0,182.964015,100.08288,70.370775,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.519085,39.094875,54.732825000000005,0.0,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06216,68.80698000000001,93.8277,95.391495,106.33806,0.0,0.0,0.0,0.0,0.0,59.42421,0.0,0.0,53.16903000000001,0.0,0.0,0.0,40.65867000000001,0.0,75.06216,68.80698000000001,93.8277,0.0,95.391495,0.0,106.33806,0.0,0.0,0.0,0.0,0.0,145.432935,106.33806,173.58124500000002,0.0,0.0,0.0,0.0,0.0,0.0,182.964015,100.08288,70.370775,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1889,39.7575,55.660500000000006,0.0,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,76.3344,69.9732,95.418,97.0083,108.1404,0.0,0.0,0.0,0.0,0.0,60.4314,0.0,0.0,54.0702,0.0,0.0,0.0,41.3478,0.0,76.3344,69.9732,95.418,0.0,97.0083,0.0,108.1404,0.0,0.0,0.0,0.0,0.0,147.89790000000002,108.1404,176.5233,0.0,0.0,0.0,0.0,0.0,0.0,186.0651,101.7792,71.56349999999999,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.56631,49.03425,68.64795000000001,0.0,74.53205999999999,66.68658,182.40741000000003,133.37316,217.71207,68.64795000000001,229.48029,125.52768,88.26164999999999,123.56631,50.99562,49.03425,94.14576,86.30028,117.6822,119.64357,133.37316,0.0,0.0,0.0,0.0,0.0,74.53205999999999,0.0,0.0,66.68658,0.0,0.0,0.0,50.99562,0.0,94.14576,86.30028,117.6822,0.0,119.64357,0.0,133.37316,0.0,0.0,0.0,0.0,0.0,182.40741000000003,133.37316,217.71207,0.0,0.0,0.0,0.0,0.0,0.0,229.48029,125.52768,88.26164999999999,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.175808671663,56.98575,79.78005,0.0,86.61833999999999,77.50062,211.98699,155.00124,253.01673,79.78005,266.69330999999994,145.88352,102.57435,143.60409,59.26518,56.98575,109.41264,100.29492,136.76579999999998,139.04522999999998,155.00124,0.0,0.0,0.0,0.0,0.0,86.61833999999999,0.0,0.0,77.50062,0.0,0.4282813283370217,0.0,59.26518,0.0,109.41264,100.29492,136.76579999999998,0.0,139.04522999999998,0.0,155.00124,0.0,0.0,0.0,0.0,0.0,211.98699,155.00124,253.01673,0.0,0.0,0.0,0.0,0.0,0.0,266.69330999999994,145.88352,102.57435,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.63242499999998,62.949375,88.129125,0.0,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,120.8628,110.7909,151.0785,153.596475,171.22230000000002,0.0,0.0,0.0,0.0,0.0,95.68305,0.0,0.0,85.61115000000001,0.0,0.0,0.0,65.46735000000001,0.0,120.8628,110.7909,151.0785,0.0,153.596475,0.0,171.22230000000002,0.0,0.0,0.0,0.0,0.0,234.171675,171.22230000000002,279.495225,0.0,0.0,0.0,0.0,0.0,0.0,294.603075,161.1504,113.308875,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.30224,63.612,89.05680000000001,0.0,96.69024,86.51232,236.63664000000003,173.02464,282.43728,89.05680000000001,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,122.13504,111.95712000000002,152.6688,155.21328,173.02464,0.0,0.0,0.0,0.0,0.0,96.69024,0.0,0.0,86.51232,0.0,0.0,0.0,66.15648,0.0,122.13504,111.95712000000002,152.6688,0.0,155.21328,0.0,173.02464,0.0,0.0,0.0,0.0,0.0,236.63664000000003,173.02464,282.43728,0.0,0.0,0.0,0.0,0.0,0.0,297.70416,162.84672,114.5016,0.0
