hour,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,x_bat_charg1,x_bat_discharg1,x_bat_charg2,x_bat_discharg2,x_bat_charg3,x_bat_discharg3,x_bat_charg4,x_bat_discharg4,x_bat_charg5,x_bat_discharg5,x_angle1,x_angle2,x_angle3,x_angle4,x_angle5,x_angle6,x_angle7,x_angle8,x_angle9,x_angle10,x_angle11,x_angle12,x_angle13,x_angle14,x_angle15,x_angle16,x_angle17,x_angle18,x_angle19,x_angle20,x_angle21,x_angle22,x_angle23,x_angle24
1,0.0,14.854811184040678,0.0,0.0,0.0,108.5,79.98798929358047,280.0,280.0,210.0,217.0,245.0,76.8920864543624,101.5400530249722,92.8002935849968,95.37087756915959,67.48173,60.37839,165.15265500000004,120.75678,197.117685,62.154225,207.772695,113.65344,79.912575,111.877605,46.17171,44.395875,85.24008,78.13674,106.5501,108.325935,120.75678,15.0,0.0,5.555555555555555,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,-0.12015252658139151,0.2140020430201904,-0.09306384435778904,0.04111394356120111,-0.17634657775446685,-0.3438064255308644,-0.18753294553086436,0.026368257865813434,-0.032060468927542184,0.18720854257098749,0.22787936362654293,0.2532758432191355,0.5012505381265431,1.1572157735518755,1.0568060936820987,1.6227505436847973,1.8368364211861465,0.7247394036080245,0.6199795935339503,1.9064676886874958,1.9746091161861465,0.6750449334598762,0.685608908286033
2,0.0,0.0,0.0,0.0,0.0,108.5,43.987989293580185,280.0,280.0,210.0,217.0,199.9808398932702,66.8276530643428,90.99891628229621,109.16742997448941,107.9371615868276,63.45297,56.77371000000001,155.29279500000004,113.54742000000002,185.349465,58.44352500000001,195.368355,106.86816,75.141675,105.198345,43.41519,41.745375,80.15112,73.47186,100.1889,101.858715,113.54742000000002,15.0,0.0,10.0,0.0,10.0,0.0,4.584990094806058,0.0,5.0,0.0,0.0,-0.12642737665809092,0.22011782437199065,-0.09133185264903133,0.03321549228610026,-0.17440285732524144,-0.32134550331618184,-0.17440178331618184,0.030594051360028254,-0.0320760979923919,0.1893955390182466,0.2129079593751169,0.2412079481315486,0.5178562545738021,1.1928837868825255,1.0734118101293577,1.659825555104966,1.8953482500927696,0.7336578554199993,0.6076402207106408,1.9616076550805732,2.02071660509277,0.6319059360012825,0.7065008056272581
3,0.0,0.0,0.0,0.0,0.0,72.5,7.987989293580185,280.0,280.0,210.0,174.7897820841375,151.9808398932702,78.42204359934401,116.9590215696192,142.8801229812484,134.7802005788012,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,76.3344,69.9732,95.418,97.0083,108.1404,15.0,0.0,10.0,0.0,10.0,0.0,20.0,0.0,5.0,0.0,0.0,-0.135224866405813,0.20767237099689434,-0.10980113985383193,0.04841529540891865,-0.187733059363607,-0.33496473281162603,-0.195018332811626,-0.0016818133018508606,-0.05757245232140108,0.14264924134978943,0.14010539380951964,0.15665866900515993,0.4731925620172498,1.1287929071907974,1.0200166826847101,1.6300637912392726,1.8820547955165545,0.6576022457418637,0.4987462087990172,1.9461759997938364,1.9981198955165544,0.48301717185617077,0.6682326390938459
4,0.0,0.0,0.0,0.0,0.0,36.5,4.688021974857421,280.0,280.0,210.0,217.0,103.9808398932702,64.1436865616138,134.2486022968652,159.570230399306,133.6636188740874,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06216,68.80698000000001,93.8277,95.391495,106.33806,15.0,0.0,10.0,0.0,10.0,0.0,20.0,0.0,5.0,0.0,0.0,-0.1336480956272711,0.1839441253506822,-0.11111868204790142,0.06855239027658891,-0.18348754483391183,-0.3304859412545421,-0.19287198125454214,-0.007271928468531731,-0.053202674040552546,0.13847048051267363,0.1359994050964287,0.1520190596259754,0.4623374649338034,1.0717660774440192,0.9988805693549332,1.5993208029673536,1.8480589122735638,0.64304707732623,0.4873793452975269,1.9027250515797738,1.9610229272735638,0.4724531632688238,0.6278551013973507
5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,280.0,280.0,210.0,176.13807535142223,101.0,102.219566645317,145.50747368477218,160.94373598175778,165.303263241482,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06216,68.80698000000001,93.8277,95.391495,106.33806,15.0,0.0,10.0,0.0,10.0,0.0,18.748343238527276,0.0,4.06877166622386,0.0,0.0,-0.1457108424813551,0.19766515378259555,-0.1283583962173751,0.06689410869875954,-0.20243607122669022,-0.3546114349627102,-0.21699747496271019,-0.029688609953395093,-0.07903697997202526,0.1026880275885601,0.08734263004195443,0.09431522443093802,0.42516247584872274,1.0329010622385,0.9603130441088854,1.5829888484247794,1.8419135147489505,0.5877779679600235,0.41540865181116154,1.9067662110731216,1.9548775297489505,0.3837808856622995,0.6152831080105478
6,0.0,0.0,0.0,0.0,0.0,36.5,8.783857553447959,280.0,280.0,186.7576824782077,125.25651957766225,149.0,134.0390017747602,131.1124910941592,157.0228819350002,161.827565586763,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,76.3344,69.9732,95.418,97.0083,108.1404,15.0,0.0,10.0,0.0,10.0,0.0,20.0,0.0,5.0,0.0,0.0,-0.1509731362712903,0.22619905811251842,-0.13223992774283844,0.04563687815877187,-0.2125390810710325,-0.36646127254258065,-0.22651487254258063,-0.03081111921438656,-0.09143622587077466,0.09475322122100123,0.07776352487996668,0.08250559767649895,0.4187546322926672,1.0572171218923243,0.959036843364333,1.5603412290763796,1.8195820306932993,0.5795419112190651,0.403605379073797,1.8909530323102186,1.9124048131715068,0.370795846928529,0.6417080900024213
7,48.0,48.0,0.0,0.0,0.0,72.5,44.78385755344796,280.0,280.0,210.0,197.25651957766223,197.0,146.5165713532894,153.669727383244,141.56607733051402,159.9270036370668,74.53205999999999,66.68658,182.40741000000003,133.37316,217.71207,68.64795000000001,229.48029,125.52768,88.26164999999999,123.56631,50.99562,49.03425,94.14576,86.30028,117.6822,119.64357,133.37316,14.140750723670363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7090061115539177,0.0,0.0,-0.15795540511358888,0.17887144251799095,-0.17674144727265576,0.03214808259559791,-0.2597516080681109,-0.4958385595035074,-0.3232379995035074,-0.0935362494317226,-0.1449747895752922,0.0336536556686857,0.059060241430873586,0.05066277045751701,0.3224628912242412,0.9896286660402425,0.8780184467797968,1.4640808908092513,1.6810809739355326,0.5004973692775285,0.37403165177526015,1.7970416370618136,1.8405612639355324,0.4240892342729918,0.5842500542791167
8,96.0,96.0,0.0,0.0,0.0,108.5,80.78385755344796,280.0,280.0,210.0,217.0,245.0,143.175808671663,163.3923909097624,155.2939323525164,170.8047068032482,86.61833999999999,77.50062,211.98699,121.52193629063697,253.01673,79.78005,266.69330999999994,145.88352,102.57435,143.60409,59.26518,56.98575,109.41264,100.29492,136.76579999999998,139.04522999999998,155.00124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15393142331435739,0.12814073622667402,-0.21303540446381436,0.007027367087683331,-0.2857576254792578,-0.6138343466287148,-0.41324450662871476,-0.1536090256132713,-0.19875854764415818,-0.011881714617354431,0.02006622141685293,0.004210746431084885,0.3006299683569272,0.9496348576732608,0.8561855239124827,1.4111784630349076,1.59032827759612,0.45070332677290725,0.33698816963333167,1.7428647121573324,1.78702158759612,0.4284217124937561,0.5388877969499675
9,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,163.296749986766,144.4801721911806,172.638246461947,185.318034195954,95.68305,85.61115000000001,234.171675,141.81433105786377,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,120.8628,110.7909,151.0785,153.596475,10.188471777983779,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1478904823591191,0.11312772666774287,-0.22223916439799346,0.013328855691376219,-0.26300998267936393,-0.6344797147182383,-0.4128979147182383,-0.16565314643686782,-0.13640388299960876,-0.017632750826835207,0.01856932109098494,-0.02276811648385825,0.2542941426129928,0.8782876262653859,0.8098496981685483,1.338271288664797,1.4901805464129212,0.3825274922071241,0.2775060862456998,1.6712959541610453,1.714783621412921,0.3991024302842755,0.4957076764665644
10,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,172.6346996947288,104.02220460112801,166.6364003312602,178.0143568334828,96.69024,0.0,76.920428444571,157.88083301602845,282.43728,89.05680000000001,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,122.13504,111.95712000000002,152.6688,155.21328,173.02464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07756856159728656,0.12309760831779533,-0.1792275926715796,-0.06494856672050878,-0.2662780921202801,-0.6681857631945731,-0.4442715231945731,-0.14857366374587266,-0.21071754264327358,0.004203739133274052,0.06375600968571987,0.13210853426546953,0.24399762865677277,0.8633055303018069,0.7995531842123283,1.3184427107978094,1.4640353940905502,0.4003076664304044,0.32675558864848053,1.6450363973832909,1.6917395540905502,0.48220671086655664,0.49320156930980114
11,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,166.9354275271276,88.9871006036082,154.895847893819,187.25637772131242,96.69024,86.51232,236.63664000000003,70.55443374586719,282.43728,89.05680000000001,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,0.0,111.95712000000002,152.66879999999452,155.21328,173.02464,0.0,15.0,0.0,10.0,0.0,10.0,0.0,20.0,0.0,5.0,0.0,-0.0895243613405988,0.13615657225350072,-0.1871594318349869,-0.06605173091290195,-0.12118901218680947,-0.6562077626811922,-0.43229352268119214,-0.15248154232937491,-0.18285366303302028,0.008036316993021046,0.023278913622781207,-0.008376797382667747,0.3758572707171541,0.9592131958177432,0.8847870919330214,1.4200625517088041,1.5688482015966951,0.43533725370074583,0.3115808554684702,1.753042171484586,1.7965523615966952,0.4168276572361946,0.547684884035622
12,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,161.9204984308834,44.9760281518146,128.2680108500288,164.5330945075574,95.68305,85.61115000000001,234.17167499999994,99.85293769114054,279.495225,88.129125,294.603075,64.45911924914554,113.308875,158.63242499999998,0.0,0.0,120.8628,110.7909,151.0785,153.596475,171.22230000000002,0.0,15.0,0.0,10.0,0.0,10.0,0.0,20.0,0.0,5.0,0.0,-0.11423479198117166,0.14792634141302155,-0.12120040236926462,-0.05512544943184992,-0.26308167357425033,-0.6476356839623434,-0.42605388396234334,-0.1281660127573576,-0.20020295516732903,0.01740016391112688,0.048290667220671483,0.024719779484792752,0.37324984408440137,0.9828114388562893,0.9288053996399569,1.445226400717106,1.5861353637556808,0.6166561432019705,0.43342512526227517,1.7562504767942553,1.8107384387556809,0.4768118573225798,0.5653688901346554
13,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,155.94088317479938,29.2907317833058,125.2943954963214,153.1642899162454,95.68305,85.61115000000001,234.171675,171.22230000000002,207.44849680221617,88.129125,294.603075,161.1504,113.308875,158.632425,65.46735000000001,62.949375,0.0,110.7909,151.0785,153.596475,6.6471285684557415,0.0,15.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-0.06276059859689269,0.12273295849554063,-0.16573157981027795,-0.08140625989864798,-0.06412791598040013,-0.6000827471937853,-0.37850094719378535,-0.13776786102366315,-0.09549523336390758,-0.008526421499340927,0.04837963488954791,-0.005427125666007617,0.20458453405621463,0.899966681825832,0.7601400896117702,1.290922071960621,1.4440115256350463,0.3537565296117701,0.26967376961177014,1.6263071293094717,1.6686146006350464,0.4122087596117701,0.5113498201606863
14,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,147.4501265881818,99.6239445412086,137.4807773689476,145.0911684154878,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,120.8628,110.7909,-2.0179413695586845e-12,0.0,171.22230000000002,0.0,9.354008086172989,0.0,0.0,0.0,0.0,0.0,7.500000000000007,0.0,5.0,0.0,-0.11508569831914175,0.1358363096323493,-0.13892407302961124,-0.04218451131320755,-0.247910721927814,-0.4271456547244545,-0.20556385472445446,-0.03182774774008072,-0.1577181617088323,-0.0037871116805641807,0.05329999110187873,-0.00402114918056418,0.17841861190722022,0.7875662372891806,0.7030689354950047,1.2166924067033886,1.3562026048075806,0.313895181342334,0.24702222718966335,1.5249189529117728,1.5808056798075807,0.4067670230369927,0.461701273460765
15,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,144.04566449741182,119.05168571403759,136.3106919442788,142.282342103312,93.66867,83.80881000000001,229.24174500000004,0.0,273.61111500000004,86.27377500000001,288.400905,157.75776000000002,110.923425,155.292795,64.08909000000001,61.62412500000001,118.31832,108.45846000000002,147.8979,150.362865,76.26062425903987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-0.13583189881402732,0.1224096640097724,-0.19697582112528553,-0.012040425195745101,-0.25570225531679636,-0.6077120476280546,-0.3907951276280546,-0.12994156343654378,-0.13893597181956538,0.060687365382544205,0.05569183217830467,0.037385142882544346,0.4742418539037417,0.9169199689323023,0.8877963424249392,1.3839582076629353,1.520338687781933,0.4589915053122206,0.34570218819950227,1.6735209779009308,1.7387395927819331,0.4542597210867838,0.5196648164710373
16,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,149.04204691157,104.6194759713762,131.205581477533,145.4725438713208,93.66867,83.80881000000001,229.24174500000004,167.61762000000002,273.61111500000004,86.27377500000001,288.400905,157.75776000000002,110.923425,30.365343231798363,64.08909000000001,61.62412500000001,118.31832,108.45846000000002,0.0,150.362865,167.61762000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15719805182687502,0.19680398415349093,-0.2117952462691955,-0.06506859232661588,-0.3049812892114296,-0.5025464536537501,-0.28562953365375005,-0.13821426071151593,-0.21612788659598417,-0.07141267770414066,-0.018312100083984408,-0.06677863020414067,0.13547006669507822,0.7857416274714001,0.6775880510942972,1.1988867008008786,1.3503355731541693,0.2833901964547658,0.20470786181523454,1.51858625550746,1.5687364781541695,0.3478723771757032,0.4912728058124455
17,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,136.4638483567012,115.3398600015912,130.63002157685818,146.5181055082308,99.71181,0.0,93.8279454433821,178.43166,291.263445,91.83982499999959,307.007415,167.93568,118.07977499999998,165.31168499999998,0.0,0.0,125.95176,115.45578,157.4397,160.063695,178.43166,0.0,15.0,0.0,10.0,0.0,10.0,0.0,20.0,0.0,5.0,0.0,-0.05248918021086349,0.03612045108447379,-0.12072367965195734,0.0029923491263896835,-0.24954386098063328,-0.710633640421727,-0.4797220804217271,-0.18895817909305104,-0.22469502175040304,-0.07122810095153254,0.010889904475487737,0.047304682845649024,0.08143611419167492,0.6739099601816662,0.5909636493348823,1.0926170749559643,1.219940080266505,0.22131105485650698,0.18752982037813154,1.4012779155770458,1.4569474952665051,0.3899081358997561,0.35501520563307
18,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,131.29696583610578,145.2155178245978,134.65569414915558,147.4061532897756,100.719,0.0,178.6680473317524,180.234,294.20550000000003,92.7675,310.1085,56.48178376788175,119.2725,166.9815,68.91300000000001,66.2625,127.224,116.622,0.0,161.6805,180.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06966323624554212,0.06683062173445085,-0.1722516873003488,-0.008529385488908744,-0.2495380214362776,-0.5058554724910842,-0.27261147249108425,-0.1370141383551554,-0.1749648066270131,-0.026956779748860186,0.043279626030065285,0.03602105018003249,0.16813077580669528,0.750919522038142,0.7236863313622508,1.1975929971140646,1.314492079989972,0.47732564219179063,0.34392852055709394,1.491608162865879,1.5546005799899718,0.4490763989223972,0.4088750718862965
19,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,146.8512719174414,156.85887933218382,98.1546469945702,156.6726735941814,100.719,0.0,73.43247183837673,180.234,294.2055000000002,92.7675,310.1085,169.632,119.2725,5.684341886080802e-14,68.91300000000001,66.2625,127.224,116.622,159.03,161.6805,180.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11653535922866591,0.1562646090639998,-0.23522676890414695,-0.05109124983533398,-0.32717930878185075,-0.7586297184573318,-0.5253857184573318,-0.21609217857962806,-0.2833752583350356,-0.11730258420468431,-0.03544943039597713,0.014513189263335106,0.01574391083259128,0.6261023148094896,0.5092584058698671,1.019212991245862,1.1541360339338598,0.14820011260238478,0.1264058193349025,1.3492760766218572,1.3942445339338596,0.3431565260674202,0.39118346193674475
20,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,144.814719052018,163.3102055747104,120.8379276369738,153.6003097907472,11.829657942601708,86.51232,236.63664000000003,173.02464,214.31606411184794,89.05679999999978,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,0.0,111.95712000000002,152.6688,155.21328,173.02464,0.0,15.0,0.0,5.000000000000001,0.0,5.000000000000001,0.0,0.0,0.0,0.0,0.0,-0.15414222898209579,0.014190927754813829,-0.29124334399301427,-0.049189382887514656,-0.21095870295327296,-0.7854434979641916,-0.5615292579641915,-0.2960314990039328,-0.29777517692445016,-0.19265090685308037,-0.1384983539641914,-0.19365232018641368,0.016855368702475237,0.7249677205738626,0.5724109242580308,1.1046259028904728,1.2568813122066937,0.16263244959136405,0.07854741492469745,1.4445450415229149,1.4845854722066938,0.22346558025803082,0.36957932416433825
21,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,147.2975681129556,163.6927839163352,138.6314679351902,146.5253039416618,0.0,82.00647000000001,224.311815,164.01294,267.727005,84.418425,282.198735,154.36512,92.31921807405843,151.95316499999998,62.71083,60.298875,69.63901083208441,106.12602,144.7173,147.129255,164.01294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18810090817529626,0.024591996811541273,-0.2967153220535761,-0.049291088636245005,-0.31637446247231277,-0.7557343955185081,-0.5434823555185081,-0.2799080759318559,-0.3053699951051604,-0.17142000533640675,-0.1182561835623298,-0.15651162052775966,0.05610967021914879,0.7013985234695956,0.6116652257747044,1.1337277926341094,1.2886597085638118,0.22999883090558312,0.15706267603646187,1.4479890944935143,1.5008584435638117,0.26876495731545746,0.3629952601405685
22,91.76800835686275,96.00000000000001,0.0,0.0,0.0,88.93238072056745,72.5,280.0,280.0,210.0,217.0,245.0,126.31282301553179,157.047540350943,163.3062665644284,154.949000767906,83.59676999999999,74.79711,204.59209500000003,132.49523977623915,244.190565,76.99702500000001,257.390055,140.79456,98.996175,138.594645,57.197790000000005,54.997875,105.59592,96.79626,131.9949,134.194815,149.59422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1422139522046901,0.11615486354461546,-0.2000116871071316,0.009716611946349133,-0.26903594950693893,-0.5864236544093805,-0.3928311344093804,-0.14341384200957308,-0.18466610680918774,-0.005695115176488315,0.03370349310051997,0.020429527286218083,0.28486996082658883,0.9167292896800964,0.8404255163821444,1.388436052993399,1.5687462937990262,0.4540482788996371,0.3492601614171299,1.7038366446046536,1.7561363487990265,0.44246439393462267,0.5164420766123559
23,43.76800835686275,48.000000000000014,0.0,0.0,0.0,52.93238072056745,36.5,280.0,280.0,210.0,217.0,203.93137564742133,124.8787938249782,122.9330067900362,163.2727389016436,151.6486957584922,73.52486999999999,65.78541,179.94244500000002,131.57082,214.770015,67.720275,226.379205,123.83136,87.068925,121.896495,50.30649,48.371625,92.87352,85.13406,116.0919,118.026765,131.57082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.50885301609926e-14,0.0,0.0,-0.13414196213149385,0.17659342301551872,-0.149411445940948,0.01706226240224958,-0.21744362045353352,-0.4610271742629877,-0.2907590542629877,-0.06406794975040221,-0.11499823877557323,0.07306415617664504,0.10622670225976073,0.10584474150035601,0.3654780717322005,0.9991738192784853,0.9210336272877561,1.4984669501236607,1.708994009041613,0.5569107402133916,0.44045057313902697,1.8122794779595652,1.865373214041613,0.4981282560646623,0.587883621147002
24,0.0,0.0,0.0,0.0,0.0,17.501892166098322,0.5,280.0,280.0,210.0,145.0,155.93137564742133,137.862201651255,152.791626268359,161.5720097428156,128.6558945240508,63.45297,56.77371000000001,155.29279500000004,113.54742000000002,185.349465,58.44352500000001,195.368355,106.86816,75.141675,105.198345,43.41519,41.745375,80.15112,73.47186,100.1889,101.858715,113.54742000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,0.0,-0.14966320440919026,0.20767939884319975,-0.1383029653206071,0.06888974556599049,-0.19713922790696364,-0.38281715881838047,-0.23587343881838047,-0.04011234623202387,-0.08431301140473703,0.08420240587753255,0.08545029825813587,0.08132341620124318,0.3799115649456477,0.9879662600750266,0.9027155640137629,1.4982013707168835,1.7332600965684446,0.5375260908318623,0.38607293764996176,1.799055532420006,1.8586284515684446,0.3849031344680612,0.5978228294591132
