hour,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,x_bat_charg1,x_bat_discharg1,x_bat_charg2,x_bat_discharg2,x_bat_charg3,x_bat_discharg3,x_bat_charg4,x_bat_discharg4,x_bat_charg5,x_bat_discharg5,x_angle1,x_angle2,x_angle3,x_angle4,x_angle5,x_angle6,x_angle7,x_angle8,x_angle9,x_angle10,x_angle11,x_angle12,x_angle13,x_angle14,x_angle15,x_angle16,x_angle17,x_angle18,x_angle19,x_angle20,x_angle21,x_angle22,x_angle23,x_angle24
1,0.0,0.0,0.0,0.0,0.0,0.0,115.9916093665094,400.0,400.0,300.0,68.0,40.0,76.8920864543624,101.5400530249722,92.8002935849968,95.37087756915959,67.48173,60.37839,165.15265500000004,120.75678,197.117685,62.154225,207.772695,113.65344,79.912575,111.877605,46.17171,44.395875,0.0,78.13674,106.5501,108.325935,120.75678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11683319380402807,0.23945493554321767,-0.12652374474590833,0.012341718260810382,-0.10321905666617584,-0.4076982176080562,-0.25142473760805617,-0.04387087568778861,-0.08960491952832364,0.11480613338439126,0.020984904987412293,0.0057252858843912305,0.5869750428692861,1.4249585032742158,1.300657512354181,2.164565732706966,2.542633495383358,0.7328554146632442,0.39236019697230723,2.5362466480597505,2.6504061903833582,0.2116901292813702,0.8322067194087168
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,300.0,114.73271909204489,0.0,66.8276530643428,90.99891628229621,109.16742997448941,107.9371615868276,63.45297,56.77371000000001,155.29279500000004,113.54742000000002,185.349465,58.44352500000001,195.368355,106.86816,75.141675,105.198345,43.41519,41.745375,0.0,73.47186,100.1889,101.85871499999996,113.54742000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10932744873942037,0.22903729204989878,-0.11771375725577625,0.00719609668952156,-0.09672116896248482,-0.3822967674788407,-0.23535304747884073,-0.03926968577213212,-0.08411488918554928,0.10671310323673493,0.024685410587322622,0.010734785282757356,0.5395022026218639,1.3772085995363867,1.1993861420069927,2.1019167139080097,2.505497822358518,0.6774692420127334,0.369288662018474,2.4998156408090257,2.6008661773585176,0.21139143202421457,0.8031229457931428
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,300.0,0.0,0.0,78.42204359934401,116.9590215696192,142.8801229812484,134.7802005788012,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,59.0757887290119,69.9732,95.418,97.0083,108.1404,-7.105427357601002e-15,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,-0.15024548345724165,0.25540927643238864,-0.1468950053693261,0.015699007024853082,-0.19570104500239885,-0.39726457818547145,-0.2573181781854714,-0.06084892728141058,-0.12300502908953222,0.0831384637434654,-0.04456259302810932,-0.06290408625653461,0.5793118976013389,1.4858116623273887,1.2917661314592126,2.2269030088011386,2.6514388974721013,0.7005987111444884,0.31298969082976424,2.6481049861430646,2.7375039974721016,0.06850767051504013,0.8706104693798886
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,300.0,0.0,0.0,64.1436865616138,134.2486022968652,159.570230399306,133.6636188740874,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06215999999989,68.80698000000001,93.8277,95.391495,106.33806,1.7763568394002505e-15,0.0,0.0,0.0,2.8311381318717412,0.0,20.0,0.0,5.0,0.0,0.0,-0.15681624596814442,0.2408744542213426,-0.1502768793702978,0.034790211746801816,-0.21383379853413548,-0.391822241936289,-0.25420828193628897,-0.06242017277245117,-0.12072703110012674,0.08595208213672005,-0.04365924891373131,-0.05860013807390378,0.5855556704933623,1.46671421040516,1.2978353788500046,2.220273386951115,2.6450103835016696,0.7091234367517697,0.32057725465353476,2.635675410052225,2.72797439850167,0.07277262255529987,0.8537943323132513
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,249.82096044667014,0.0,0.0,102.219566645317,145.50747368477218,160.94373598175778,165.303263241482,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06216,68.80698000000001,93.8277,95.391495,106.33806,15.0,0.0,10.0,0.0,10.0,0.0,20.0,0.0,5.0,0.0,0.0,-0.17432899767691787,0.26026736827288915,-0.16591972491155127,0.03291004940402871,-0.2507292081192024,-0.41184774535383584,-0.2742337853538358,-0.07619311214618464,-0.14700509856148694,0.06107719504360991,-0.07137362378203511,-0.0858646457897235,0.5533716366718344,1.438921139075547,1.2583421983000587,2.1555942994995463,2.5928278623759553,0.6730598959897908,0.2879433536795228,2.5959894552523637,2.625612837822625,0.04356836136925472,0.849594253674218
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,266.29805960931844,0.0,0.0,134.0390017747602,131.1124910941592,157.0228819350002,161.827565586763,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,76.3344,69.9732,95.418,97.0083,108.1404,15.0,0.0,10.0,0.0,10.0,0.0,20.0,0.0,5.0,0.0,0.0,-0.17864822822631976,0.2867383217641453,-0.1685634859338146,0.012772706462174425,-0.2592407987451446,-0.4218114564526395,-0.28186505645263954,-0.07578314364130942,-0.15716456926396954,0.056076369789677755,-0.07728526737391583,-0.09329951354365562,0.5505527056076455,1.4498574890043046,1.2613098414256128,2.172277060619004,2.60657909041104,0.669827346601499,0.2819032517773852,2.6130113202030762,2.6589422500203583,0.03710615695327124,0.868297905384225
7,0.0,0.0,0.0,0.0,0.0,0.0,155.0,400.0,400.0,300.0,10.544860295884073,0.0,146.5165713532894,153.669727383244,141.56607733051402,159.9270036370668,74.53205999999999,66.68658,182.40741000000003,133.37316,217.71207,68.64795000000001,229.48029,125.52768,88.26164999999999,123.56631,50.99562,49.03425,0.0,86.30028,117.6822,119.64356999999933,133.37316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15619771594439597,0.2771697528222164,-0.18057773559992535,0.028092083122179402,-0.15464225223326258,-0.504609691888792,-0.332009131888792,-0.10296651525545474,-0.1530867885221292,0.048747966891493084,-0.08887628850226727,-0.12609874796056497,0.5771439193041212,1.4999807492088342,1.3722861917167495,2.2586554233054885,2.6370998940998582,0.6975284203875263,0.27382600905830295,2.674504944894228,2.7665801840998583,0.026646897729079605,0.8885752510155253
8,0.0,0.0,0.0,0.0,0.0,155.0,91.80566096692506,400.0,400.0,300.0,190.54486029588497,0.0,143.175808671663,163.3923909097624,155.2939323525164,170.8047068032482,86.61833999999999,77.50062,211.98699,155.00124,253.01673,79.78005,266.69330999999994,145.88352,102.57435,143.60409,59.26518,56.98575,0.0,100.29492,136.76579999999998,139.04523,155.00124,0.0,7.105427357601002e-15,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,-0.1621195551720193,0.29675859466530957,-0.18248864752699565,0.03859764050670978,-0.14886877798906226,-0.5476232503440387,-0.3470334103440386,-0.08432737988197202,-0.13561800080610528,0.08728467738445397,0.0019323464114106154,-0.026770547467603704,0.5958546376934969,1.6541608584038399,1.4144270780025396,2.308181499338472,2.6717120550064384,0.7648722299354678,0.407084421868396,2.7686292306744043,2.8384053650064383,0.2544453138013243,0.9754597265345748
9,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,309.9999999999973,0.0,163.296749986766,144.4801721911806,172.638246461947,185.318034195954,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,0.0,110.7909,151.0785,153.59647499999997,171.22230000000002,0.0,6.378997164152795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.15777181735849372,0.3248932740887032,-0.17230008663899693,0.024244643269790502,-0.1297930654364842,-0.5686841818811401,-0.3471023818811402,-0.055893655919500136,-0.11457230784278019,0.1397785109914934,0.0824553538424395,0.06354447349149234,0.6660355342367617,1.7175963823354525,1.5347371574820299,2.39796584689714,2.7272786541046954,0.878332623534868,0.544228889587706,2.8457976113122503,2.9218817291046952,0.43674290564054413,1.0212448282120778
10,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,309.99999999999955,70.28729853940014,172.6346996947288,104.02220460112801,166.6364003312602,178.0143568334828,96.69024,86.51232,236.63664000000003,173.02464,282.43728,89.05680000000001,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,0.0,111.95712000000002,152.66879999999998,155.21328,173.02464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.600000000000009,0.0,2.1500000000000026,0.0,-0.1490679081554533,0.34964358891378505,-0.15203972502917343,-0.007195200758331765,-0.12213935943718641,-0.5474948563109066,-0.32358061631090657,-0.022698581902893613,-0.09521081071891954,0.17916073126276855,0.14374967164905858,0.13563630053246845,0.6989160171404188,1.7442852695957975,1.5647205830180693,2.4150808897663003,2.7392589631404163,0.9354409549072389,0.6318547667964085,2.8588453565145318,2.9369631231404165,0.5572717786855783,1.0469644292547913
