hour,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,x_bat1,x_bat2,x_bat3,x_bat4,x_bat5,x_line1,x_line2,x_line3,x_line4,x_line5,x_line6,x_line7,x_line8,x_line9,x_line10,x_line11,x_line12,x_line13,x_line14,x_line15,x_line16,x_line17,x_line18,x_line19,x_line20,x_line21,x_line22,x_line23,x_line24,x_line25,x_line26,x_line27,x_line28,x_line29,x_line30,x_line31,x_line32,x_line33,x_line34
1,89.93136986730443,51.417250653361066,9.686840000000004,0.0,0.0,108.5,108.5,277.4018174308404,280.0,0.0,217.0,178.3365132202569,76.8920864543624,101.5400530249722,92.8002935849968,95.37087756915959,67.48173,60.37839,165.15265500000004,4.263256414560601e-14,197.117685,62.154225,207.772695,113.65344,79.912575,111.877605,46.17171,44.395875,85.24008,78.13674,106.5501,108.325935,120.75678,15.0,10.0,10.0,2.2988818052536715,-5.0,67.87292934663894,-77.51448145436241,32.0911919750279,46.17171,12.740080000000006,87.5,-200.0,0.0,89.2353700000001,-87.5,-68.4499,-87.5,-87.5,0.0,-108.325935,-84.84734499999992,-131.67406499999998,40.15265500000004,-124.99999999999996,0.0,-250.0,-125.0,-125.0,-90.9165668052537,-200.0,200.0,-250.0,173.2295017797431,-69.62912243084043,-175.37087756915957,0.0,59.576061779743085,-20.33651322025692,175.37087756915957
2,106.4,99.41725065336107,0.0,0.0,0.0,108.5,108.5,262.4311934131724,280.0,0.0,217.0,130.33651322025693,66.8276530643428,90.99891628229621,109.16742997448941,107.9371615868276,63.45297,56.77371000000001,155.29279500000004,113.54742000000002,185.349465,58.44352500000001,195.368355,106.86816,75.141675,105.198345,43.41519,41.745375,80.15112,73.47186,100.1889,101.858715,113.54742000000002,15.0,0.0,0.0,-2.2988818052536715,5.0,0.0,-82.79942871770379,125.7464587177038,0.0,42.64354065336106,78.82987934663903,-200.0,-43.41519,175.0,-52.50757934663895,-73.47186,-86.16076000000001,-87.5,-102.60478565336098,-50.0,121.44500065336103,-200.0,30.29279500000004,-11.452579999999983,0.0,-250.0,-125.0,-125.0,-74.55058319474634,-200.0,200.0,-250.0,209.67332177974308,-250.0,-5.0,-182.93716158682759,102.80516177974307,27.663486779743067,5.0
3,90.14322777701977,51.417250653361066,0.0,0.0,0.0,108.5,108.5,226.2848994211988,280.0,0.0,217.0,82.33651322025695,78.42204359934401,116.9590215696192,142.8801229812484,134.7802005788012,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,76.3344,69.9732,95.418,97.0083,108.1404,15.0,10.0,10.0,6.923279800849372,5.0,87.5,-87.5,29.711827777019785,-2.652949346638934,87.5,87.5,-196.76685640065597,-44.00074934663893,106.91334934663898,-3.8344000000000023,-69.9732,-77.89120000000001,-87.5,-114.29814934663898,-17.10209999999998,97.43854934663898,-200.0,0.0,-16.8596,22.89790000000002,-250.0,-125.0,-125.0,-71.71343620150535,-200.0,196.76685640065597,-250.0,249.00618677974305,-250.0,-5.0,-209.7802005788012,147.22698677974304,75.66348677974305,5.0
4,58.400000000000006,60.27097114152104,0.0,0.0,0.0,105.243839600694,108.5,224.30039612591258,280.0,0.0,217.0,78.45365499999998,64.1436865616138,134.2486022968652,159.570230399306,133.6636188740874,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06216,68.80698000000001,93.8277,95.391495,106.33806,15.0,10.0,10.0,20.0,5.0,87.5,-78.1246015616138,-10.39960843838621,7.101941141521017,87.5,87.5,-200.0,-33.55672885847899,84.75411885847898,-2.5621600000000058,-68.80698000000001,-75.13468,-87.5,-116.582903858479,0.0,78.35389885847898,-200.0,-19.567065000000014,-18.66194,40.0,-250.0,-125.0,-125.0,-88.33740539930602,-200.0,200.0,-250.0,250.0,-250.0,-5.0,-208.6636188740874,149.91712,79.54634500000002,5.0
5,10.400000000000006,87.63670131522784,0.0,0.0,0.0,108.5,75.16985237292522,186.94579256256398,280.0,0.0,217.0,78.45365500000004,102.219566645317,145.50747368477218,160.94373598175778,165.303263241482,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06216,68.80698000000001,93.8277,95.391495,106.33806,15.0,10.0,10.0,20.0,-0.7149591959540089,87.5,-87.5,-49.02421,34.467671315227825,87.5,87.5,-171.29951835468302,-6.1909986847721825,57.38838868477218,-2.5621600000000058,-68.80698000000001,-87.5,-75.13468,98.41750631522781,-200.0,-136.64651131522783,0.0,-19.567065000000014,-18.66194,40.0,-250.0,-125.0,-125.0,-56.38076335468304,-200.0,171.29951835468302,-250.0,249.99999999999994,-3.981777562563991,-245.303263241482,0.0,149.91711999999995,79.54634499999996,245.303263241482
6,58.400000000000006,69.00700890584085,0.0,0.0,0.0,72.5,48.764517314418974,199.237534413237,280.0,0.0,217.0,121.38899897582058,134.0390017747602,131.1124910941592,157.0228819350002,161.827565586763,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,76.3344,69.9732,95.418,97.0083,108.1404,15.0,10.0,10.0,20.0,5.0,72.56319109415915,-87.5,12.90540890584085,0.0,87.5,87.5,-141.14989822523978,-41.3478,104.26040000000005,-3.8344000000000023,-69.9732,-87.5,-77.89120000000001,61.64389999999999,-200.0,-55.60559999999997,-40.0,22.89790000000002,-16.8596,0.0,-250.0,-125.0,-125.0,-65.17319822523979,-200.0,141.14989822523978,-250.0,209.9537010241794,-250.0,-5.0,-236.827565586763,108.1745010241794,36.611001024179416,5.0
7,106.4,106.4,0.0,0.0,0.0,108.5,73.82073253952655,244.5532863629332,280.0,0.0,217.0,169.38899897582058,146.5165713532894,153.669727383244,141.56607733051402,159.9270036370668,74.53205999999999,66.68658,182.40741000000003,133.37316,217.71207,68.64795000000001,229.48029,125.52768,88.26164999999999,123.56631,50.99562,10.537667383244028,94.14576,86.30028,79.47446000000001,119.64357,133.37316,10.0,0.0,-5.684341886080802e-14,8.076720199150628,5.0,87.5,-87.5,31.86794000000002,39.71342,87.5,87.5,-152.04973864671058,-11.282200000000003,175.0,-16.645759999999996,-86.30028,-78.27474,-87.5,78.29948999999999,-200.0,-12.518919999999952,-50.00000000000006,57.40741000000003,8.373160000000013,0.0,-250.0,-125.0,-125.0,-69.33852884586116,-200.0,152.04973864671058,-250.0,202.40033102417942,-250.0,-5.0,-234.9270036370668,76.8726510241794,-11.388998975820584,5.0
8,106.4,106.4,62.06071999999999,0.0,0.0,108.5,108.5,270.8886031967518,280.0,0.0,217.0,217.38899897582058,143.175808671663,163.3923909097624,155.2939323525164,170.8047068032482,86.61833999999999,77.50062,211.98699,0.0,253.01673,79.78005,266.69330999999994,145.88352,102.57435,143.60409,59.26518,56.98575,109.41264,100.29492,136.76579999999998,139.04522999999998,155.00124,-9.623599090237505,0.0,-10.0,0.0,5.0,38.68830090976243,-87.5,68.59335909023758,0.0,67.58768090976244,87.5,-175.42828132833702,-59.26518,175.0,-32.20136000000005,-38.234200000000016,-87.5,-87.5,1.6895900000000381,-200.0,-39.70260000000005,-60.0,86.98698999999999,-125.0,0.0,-250.0,-125.0,-125.0,-119.94501132833702,-200.0,175.42828132833702,-250.0,189.0688710241794,-250.0,-5.0,-245.8047068032482,43.1853510241794,-59.3889989758206,5.0
9,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,0.0,217.0,245.0,163.296749986766,144.4801721911806,172.638246461947,185.318034195954,95.68305,65.45792025667113,234.17167500000005,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,0.0,0.0,120.8628,110.7909,64.2091,153.596475,0.0,6.285951934509413,0.0,10.0,-10.78105355128696,0.7149591959540089,67.69712219118061,-87.5,30.5198278088194,21.139201934509487,87.5,87.5,-170.33567501323398,21.139201934509487,175.0,-39.648751934509406,-110.7909,-87.5,-87.5,67.54272693450949,-200.0,87.8512480654906,-40.0,109.17167500000005,46.22230000000002,0.0,-250.0,-125.0,-125.0,-130.54984646194703,-200.0,170.33567501323398,-250.0,187.459275,-250.0,-0.7149591959540089,-264.603075,26.308875,-87.0,0.7149591959540089
10,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,5.137585445204763,217.0,245.0,172.6346996947288,104.02220460112801,166.6364003312602,178.0143568334828,96.69024,0.0,0.0,173.02464,282.43728,89.05680000000001,297.70416,162.84672,87.84700647470208,160.30224,66.15648,63.612,122.13504,4.297084601127949,152.6688,155.21328,173.02464,-15.0,0.0,5.684341886080802e-14,10.78105355128696,-4.552217721312445,68.6,-87.5,28.60976000000001,87.5,87.5,87.5,-162.66754030527122,21.343519999999998,69.01996460112801,-19.635040000000004,-4.297084601127949,-69.46588460112795,-87.5,-65.835644601128,-49.99999999999994,-11.139715398872,-200.0,-125.0,48.024640000000005,0.0,-250.0,-125.0,-125.0,-147.38587385655816,-200.0,162.66754030527122,-250.0,163.6937264747021,-245.44778227868755,0.0,-263.15194227868756,0.8470064747020842,-87.0,-5.137585445204763
