energy_day_ahead,day_ahead_revenue,capacity_change,penalty,balance_volume,balance_revenue,total_revenue,variable_costs,costs,profit
0.0,0.0,0,-0.0,0.0,0.0,0.0,13.32,0.0,0.0
0.0,0.0,0,-0.0,0.0,0.0,0.0,13.32,0.0,0.0
0.0,0.0,0,-0.0,0.0,0.0,0.0,20.7,0.0,0.0
0.0,0.0,0,-0.0,0.0,0.0,0.0,20.93,0.0,0.0
0.0,0.0,0,-0.0,0.0,0.0,0.0,26.11,0.0,0.0
108.5,1181.565,0,-0.0,36.0,431.244,1612.8090000000002,10.52,1520.1399999999999,92.66900000000032
108.5,1181.565,0,-0.0,36.0,431.244,1612.8090000000002,10.52,1520.1399999999999,92.66900000000032
280.0,3049.2000000000003,-280.0,3354.1200000000003,0.0,0.0,-304.9200000000001,6.02,0.0,-304.9200000000001
280.0000000000001,3049.200000000001,0,-0.0,60.0,718.74,3767.9400000000014,5.47,1859.8000000000006,1908.1400000000008
209.99999999999997,2286.8999999999996,0,-0.0,48.0,574.9920000000001,2861.892,7.0,1806.0,1055.8919999999998
217.00000000000003,2363.1300000000006,0,-0.0,72.0,862.488,3225.6180000000004,10.52,3040.2799999999997,185.33800000000065
168.1317647248498,1830.9549178536145,0,-0.0,5.542964862481085,66.39917608766092,1897.3540939412753,10.89,1891.3178052060334,6.036288735241897
