hour,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,x_bat_charg1,x_bat_charg2,x_bat_charg3,x_bat_charg4,x_bat_charg5,x_bat_disch1,x_bat_disch2,x_bat_disch3,x_bat_disch4,x_bat_disch5
1,48.0,48.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,172.62475000000006,196.94027269984213,76.8920864543624,101.5400530249722,92.8002935849968,95.37087756915959,67.48173,60.37839,165.15265500000004,120.75678,197.117685,62.154225,207.772695,113.65344,79.912575,111.877605,46.17171,44.395875,85.24008,78.13674,106.5501,108.325935,120.75678,15.0,9.999999999999991,9.999999999999998,3.333333333333324,4.999999999999999,0.0,0.0,0.0,0.0,0.0
2,48.0,48.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,188.52774999999997,52.24497798093279,66.8276530643428,90.99891628229621,109.16742997448941,107.9371615868276,63.45297,56.77371000000001,155.29279500000004,113.54742000000002,185.349465,58.44352500000001,195.368355,106.86816,75.141675,105.198345,43.41519,41.745375,80.15112,73.47186,100.1889,101.858715,113.54742000000002,15.0,5.555555555555556,5.55555555555544,0.0,2.777777777777784,0.0,0.0,0.0,0.0,0.0
3,48.0,48.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,94.25861127098732,0.0,78.42204359934401,116.9590215696192,142.8801229812484,134.7802005788012,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,76.3344,69.9732,95.418,97.0083,108.1404,15.0,10.0,9.999999999999972,20.0,4.999999999999999,0.0,0.0,0.0,0.0,0.0
4,48.0,48.0,0.0,0.0,0.0,108.5,97.28936186812754,280.0,280.0,210.0,60.379500000000036,0.0,64.1436865616138,134.2486022968652,159.570230399306,133.6636188740874,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06216,68.80698000000001,93.8277,95.391495,106.33806,15.0,10.0,9.999999999999998,20.0,5.0,0.0,0.0,0.0,0.0,0.0
5,48.0,48.0,0.0,0.0,0.0,108.49999999999994,14.941460446670865,280.0,280.0,210.0,60.379500000000036,0.0,102.219566645317,145.50747368477218,160.94373598175778,165.303263241482,59.42421,53.16903000000001,145.432935,106.33806,173.58124500000002,54.732825000000005,182.964015,100.08288,70.370775,98.519085,40.65867000000001,39.094875,75.06216,68.80698000000001,93.8277,95.391495,106.33806,15.0,10.0,9.999999999999996,19.999999999999822,4.9999999999999964,0.0,0.0,0.0,0.0,0.0
6,48.0,48.0,0.0,0.0,0.0,108.49999999999986,28.768059609317117,280.0,280.0,210.0,63.03,0.0,134.0390017747602,131.1124910941592,157.0228819350002,161.827565586763,60.4314,54.0702,147.89790000000002,108.1404,176.5233,55.660500000000006,186.0651,101.7792,71.56349999999999,100.1889,41.3478,39.7575,76.3344,69.9732,95.418,97.0083,108.1404,15.0,10.0,9.999999999999996,19.99999999999962,4.9999999999999964,0.0,0.0,0.0,0.0,0.0
7,48.0,48.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,145.0,146.6906202958861,146.5165713532894,153.669727383244,141.56607733051402,159.9270036370668,74.53205999999999,66.68658,182.40741000000003,133.37316,217.71207,68.64795000000001,229.48029,125.52768,88.26164999999999,123.56631,50.99562,49.03425,94.14576,86.30028,117.6822,119.64357,133.37316,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,58.400000000000006,58.400000000000006,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,145.0,245.0,143.175808671663,163.3923909097624,155.2939323525164,170.8047068032482,86.61833999999999,77.50062,211.98699,2.038078737189636,253.01673,79.78005,266.69330999999994,145.88352,102.57435,143.60409,59.26518,56.98575,109.41264,100.29492,136.76579999999998,139.04522999999998,155.00124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,58.400000000000006,58.400000000000006,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,145.0,245.0,163.296749986766,144.4801721911806,172.638246461947,185.318034195954,95.68305,36.85837783584769,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,0.0,0.0,120.8628,110.7909,151.07849999999942,153.596475,0.0,0.0,0.0,0.0,0.0,0.0,10.049999999999988,-7.105427357601002e-15,1.7763568394002505e-15,-4.440892098500626e-16,0.0
10,58.400000000000006,58.400000000000006,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,145.0,245.0,172.6346996947288,104.02220460112801,166.6364003312602,178.0143568334828,96.69024,0.0,8.27822146059978,173.02464,282.43728,89.05680000000012,297.70416,162.84672,0.0,160.30224,66.15648,63.612,122.13504,111.95712000000002,152.6688,155.21328,173.02464,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,-1.7763568394002505e-15,4.440892098500626e-16,0.0
11,58.400000000000006,58.400000000000006,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,145.0,245.0,166.9354275271276,88.9871006036082,154.895847893819,187.25637772131242,96.69024,86.51232,236.63664000000003,0.0,282.43728,89.05680000000001,297.70416,162.84672,114.5016,62.856673745867056,66.15648,63.612,0.0,111.95712000000002,152.6688,155.21328,173.02464,0.0,0.0,0.0,0.0,0.0,15.0,10.0,9.999999999999996,19.99999999999976,4.999999999999998
12,58.400000000000006,58.400000000000006,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,145.0,245.0,161.9204984308834,44.9760281518146,128.2680108500288,164.5330945075574,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,0.0,294.603075,0.0,0.0,158.63242499999998,0.0,0.0,120.8628,110.7909,151.0785,153.596475,171.22230000000002,0.0,0.0,0.0,0.0,0.0,15.0,8.47224305971584,5.0000000000000355,0.0,5.0
13,58.400000000000006,58.400000000000006,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,145.0,245.0,155.94088317479938,29.2907317833058,125.2943954963214,153.1642899162454,95.68305,85.61115000000001,234.171675,171.22230000000002,0.0,0.0,294.603075,161.1504,113.308875,145.83040275433743,65.46735000000001,62.949375,0.0,110.7909,151.0785,153.596475,171.22230000000002,0.0,0.0,0.0,0.0,0.0,15.0,9.195527383665576,10.0,20.0,4.999999999999998
14,58.400000000000006,58.400000000000006,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,145.0,245.0,147.4501265881818,99.6239445412086,137.4807773689476,145.0911684154878,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,139.56931691382547,65.46735000000001,62.949375,120.8628,0.0,0.0,0.0,171.22230000000002,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,19.99999999999978,4.999999999999998
15,58.400000000000006,58.400000000000006,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,145.0,245.0,144.04566449741182,119.05168571403759,136.3106919442788,142.282342103312,93.66867,83.80881000000001,229.24174500000004,0.0,273.61111500000004,86.27377500000001,288.400905,157.75776000000002,110.923425,155.292795,64.08909000000001,61.62412500000001,118.31832,14.219084259040102,147.8979,150.362865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
