hour,market_price,total_demand,total_bat,total_supply
1,10.52,1775.8349999999998,0.0,1775.8350000000003
2,10.52,1669.8150000000003,0.0,1669.815
3,7.0,1590.3,54.00000000000008,1650.3
4,7.0,1563.7950000000003,108.00000000000013,1623.795
5,7.0,1563.7950000000003,162.0000000000001,1623.795
6,7.0,1590.3,216.0000000000001,1650.3
7,10.52,1961.37,216.0000000000001,1961.3700000000003
8,10.52,2279.4300000000003,215.99999999999994,2279.43
9,10.89,2517.975,149.33333333333368,2457.9750000000004
10,10.89,2544.48,82.66666666666696,2484.48
11,10.89,2544.48,16.000000000000288,2484.48
12,10.89,2517.975,3.9968028886505635e-14,2503.575
13,10.89,2517.975,3.9968028886505635e-14,2517.975
14,10.89,2517.975,3.9968028886505635e-14,2517.9750000000004
15,10.89,2464.965,3.9968028886505635e-14,2464.965
16,10.89,2464.965,3.9968028886505635e-14,2464.965
17,10.89,2623.995,3.9968028886505635e-14,2623.995
18,10.89,2650.5000000000005,3.9968028886505635e-14,2650.5
19,10.89,2650.5000000000005,3.9968028886505635e-14,2650.5000000000005
20,10.89,2544.48,3.9968028886505635e-14,2544.48
21,10.89,2411.9549999999995,3.9968028886505635e-14,2411.955
22,10.52,2199.915,3.9968028886505635e-14,2199.915
23,10.52,1934.865,3.9968028886505635e-14,1934.865
24,7.0,1669.8150000000003,3.9968028886505635e-14,1669.815
