hour,x_con_up_reserve1,x_con_up_reserve2,x_con_up_reserve3,x_con_up_reserve4,x_con_up_reserve5,x_con_up_reserve6,x_con_up_reserve7,x_con_up_reserve8,x_con_up_reserve9,x_con_up_reserve10,x_con_up_reserve11,x_con_up_reserve12,x_con_down_reserve1,x_con_down_reserve2,x_con_down_reserve3,x_con_down_reserve4,x_con_down_reserve5,x_con_down_reserve6,x_con_down_reserve7,x_con_down_reserve8,x_con_down_reserve9,x_con_down_reserve10,x_con_down_reserve11,x_con_down_reserve12
1,40.0,40.0,70.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,56.37524999999994,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,37.583500000000015
2,40.0,40.0,70.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,40.47225000000006,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,26.981499999999983
3,40.0,40.0,70.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,28.544999999999987,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,19.03000000000003
4,40.0,40.0,70.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,24.569249999999954,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,16.37949999999998
5,40.0,40.0,70.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,24.569249999999954,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,16.37949999999998
6,40.0,40.0,70.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,28.544999999999987,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,19.03000000000003
7,40.0,40.0,70.0,24.205499999999915,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,0.0,0.0,16.137,0.0,0.0,0.0,0.0,60.0,40.0
8,40.0,40.0,70.0,71.91449999999998,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,0.0,0.0,30.0,17.943000000000012,0.0,0.0,0.0,60.0,40.0
9,40.0,40.0,70.0,107.69624999999996,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,11.797499999999957,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
10,40.0,40.0,70.0,111.67200000000003,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,14.448000000000036,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
11,40.0,40.0,70.0,111.67200000000003,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,14.448000000000036,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
12,40.0,40.0,70.0,107.69624999999996,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,11.797499999999957,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
13,40.0,40.0,70.0,107.69624999999996,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,11.797499999999957,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
14,40.0,40.0,70.0,107.69624999999996,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,11.797499999999957,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
15,40.0,40.0,70.0,99.74475000000001,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,6.4964999999999975,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
16,40.0,40.0,70.0,99.74475000000001,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,6.4964999999999975,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
17,40.0,40.0,70.0,123.59924999999993,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,22.39949999999999,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
18,40.0,40.0,70.0,127.57499999999993,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,25.05000000000001,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
19,40.0,40.0,70.0,127.57499999999993,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,25.05000000000001,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
20,40.0,40.0,70.0,111.67200000000003,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,14.448000000000036,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
21,40.0,40.0,70.0,91.79324999999994,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,1.1955000000000382,0.0,30.0,30.0,0.0,0.0,0.0,60.0,40.0
22,40.0,40.0,70.0,59.98725000000002,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,0.0,0.0,30.0,9.991500000000002,0.0,0.0,0.0,60.0,40.0
23,40.0,40.0,70.0,20.22974999999991,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,40.0,0.0,0.0,0.0,13.486500000000035,0.0,0.0,0.0,0.0,60.0,40.0
24,40.0,40.0,70.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,40.47225000000006,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,26.981499999999983
