Hour,W1,W2,W3,W4,W5,W6
1,76.8920864543624,101.5400530249722,92.8002935849968,95.37087756915959,96.0020381071836,70.9073218953444
2,66.8276530643428,90.99891628229621,109.16742997448941,107.9371615868276,103.61618294055599,112.61838465663541
3,78.42204359934401,116.9590215696192,142.8801229812484,134.7802005788012,128.27647864157902,133.832256115005
4,64.1436865616138,134.2486022968652,159.570230399306,133.6636188740874,142.9686338786572,154.2333380073032
5,102.219566645317,145.50747368477218,160.94373598175778,165.303263241482,144.0304000341898,161.48957779453661
6,134.0390017747602,131.1124910941592,157.0228819350002,161.827565586763,144.636151387038,155.2222855874596
7,146.5165713532894,153.669727383244,141.56607733051402,159.9270036370668,152.859694898653,153.6040944420086
8,143.175808671663,163.3923909097624,155.2939323525164,170.8047068032482,158.64287619170042,164.3066306974976
9,163.296749986766,144.4801721911806,172.638246461947,185.318034195954,150.9007640465754,166.557531595817
10,172.6346996947288,104.02220460112801,166.6364003312602,178.0143568334828,149.6644114573486,150.294576657618
11,166.9354275271276,88.9871006036082,154.895847893819,187.25637772131242,163.6896291734182,147.4055679532484
12,161.9204984308834,44.9760281518146,128.2680108500288,164.5330945075574,154.5563995384202,152.9794775293234
13,155.94088317479938,29.2907317833058,125.2943954963214,153.1642899162454,143.34875818436902,148.691188270008
14,147.4501265881818,99.6239445412086,137.4807773689476,145.0911684154878,149.5036466394126,128.6922515991164
15,144.04566449741182,119.05168571403759,136.3106919442788,142.282342103312,148.9580039149536,97.3962635542114
16,149.04204691157,104.6194759713762,131.205581477533,145.4725438713208,142.8258893892324,109.0223938770582
17,136.4638483567012,115.3398600015912,130.63002157685818,146.5181055082308,139.69886683139322,96.4666353096174
18,131.29696583610578,145.2155178245978,134.65569414915558,147.4061532897756,142.9423281985182,90.0280036736726
19,146.8512719174414,156.85887933218382,98.1546469945702,156.6726735941814,132.72134825634402,110.7375564476638
20,144.814719052018,163.3102055747104,120.8379276369738,153.6003097907472,148.2625363671126,131.1513144088662
21,147.2975681129556,163.6927839163352,138.6314679351902,146.5253039416618,163.36777271471138,135.95259452412242
22,126.31282301553179,157.047540350943,163.3062665644284,154.949000767906,151.9178672060828,128.1130958339026
23,124.8787938249782,122.9330067900362,163.2727389016436,151.6486957584922,160.4482795221288,63.901963708478604
24,137.862201651255,152.791626268359,161.5720097428156,128.6558945240508,158.0466695505578,32.0439067583228
END,,,,,,
