hour,objective_value,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x_wind1,x_wind2,x_wind3,x_wind4,x_wind5,x_wind6,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
1,35170.19986167651,0.0,0.0,0.0,0.0,0.0,155.0,52.880869774126566,400.0,400.0,300.0,0.0,0.0,76.8920864543624,101.5400530249722,92.8002935849968,95.37087756915959,96.0020381071836,70.9073218953444,0.0,0.0,0.0,32.946366488322965,162.90335539397532,180.23108142181184,0.0,225.3908337441623,141.86898202164363,237.7278140395001,0.0,75.02608834224885,0.0,113.93242946200508,97.8283261126254,250.8705328164756,211.5809749005607,0.0,0.0,111.08675566681356
2,29691.72789546541,0.0,0.0,0.0,0.0,0.0,70.35355112254932,0.0,400.0,400.0,300.0,0.0,0.0,66.8276530643428,90.99891628229621,109.16742997448941,107.9371615868276,103.61618294055599,112.61838465663541,0.0,0.0,174.50183615211034,0.0,225.063213821033,0.0,0.0,242.2318598007257,0.0,271.10429102393755,0.0,107.956779473921,90.03578892267153,248.8753076222652,114.82576936776564,0.2959110197095382,72.2837207942993,200.3411533375011,14.00364829175692,0.0
3,31174.34290399299,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,310.0,0.0,78.42204359934401,116.9590215696192,142.8801229812484,134.7802005788012,128.27647864157902,133.832256115005,0.0,0.0,205.74799530058556,183.77289046890996,285.20777650496666,70.58991914525778,0.0,0.0,230.3578634743211,186.89112627556608,0.0,0.0,177.8695471990539,239.4774118607004,283.07985170276817,234.743165264578,47.17369425208176,64.30726407316526,0.0,245.9316179636425
4,39718.51339264441,0.0,0.0,0.0,0.0,0.0,67.24856528262019,0.0,400.0,400.0,300.0,0.0,0.0,64.1436865616138,134.2486022968652,159.570230399306,133.6636188740874,142.9686338786572,154.2333380073032,182.62999641872705,102.7925293211155,0.0,62.63133384578752,41.31094143072296,56.1773587563755,55.547232237432574,0.0,0.0,289.0545405550974,212.03642395452536,64.74275539864608,59.82371020341773,250.88197747457025,283.4370664591599,0.0,6.320878711427391,0.0,229.5314622505513,59.15846828289649
5,34583.097331038945,0.0,0.0,0.0,0.0,0.0,94.67935411815543,0.0,400.0,400.0,300.0,0.0,0.0,102.219566645317,145.50747368477218,160.94373598175778,165.303263241482,144.0304000341898,161.48957779453661,215.83684824734925,39.89940940447742,0.0,212.61081535617464,0.0,62.548749672784446,249.08721363762425,0.0,296.19171626291745,115.1195330025608,201.5187852573625,44.16362408841513,0.0,94.53602711231888,287.18797187224885,0.0787097499546862,0.0,154.25632338320878,0.0,101.13764445281387
6,37857.83315319206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,300.0,0.0,0.0,134.0390017747602,131.1124910941592,157.0228819350002,161.827565586763,144.636151387038,155.2222855874596,49.74950820875762,250.3052937113003,128.25243284815866,214.50194073902185,24.492091831616424,13.9228382254465,72.59662561889732,0.0,181.27153121178827,39.97162178780752,152.17942826122098,298.3770671741744,125.37514354198498,5.988682309253591,254.48816404281789,0.0,0.0,159.90305386920622,0.0,12.48495398372783
7,53365.556698019376,0.0,0.0,0.0,0.0,0.0,155.0,155.0,400.0,400.0,300.0,209.62088656175314,0.0,146.5165713532894,153.669727383244,141.56607733051402,159.9270036370668,152.859694898653,153.6040944420086,0.0,185.81344782740976,102.65323249430764,59.4073469528643,7.822981413409391,179.9224404533046,288.6422139480857,176.78362894017826,224.53101155429823,200.23048000843477,173.56759942183655,192.8597253149701,113.59091235479497,0.0,261.64588382048373,204.5805172781073,152.2092108627147,0.0,3.503422961329161,0.0
8,37106.838316544185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.80943143410465,400.0,300.0,0.0,0.0,143.175808671663,163.3923909097624,155.2939323525164,170.8047068032482,158.64287619170042,164.3066306974976,183.72675103726505,83.81654253007763,44.80401206874686,0.0,272.87833619344195,0.0,0.0,99.59221644711936,0.0,152.48134279863294,109.20132080002364,9.591983883857203,260.70633786125575,279.7015882899034,11.278298523843857,226.8110768089152,0.0,0.0,52.27187758472953,26.56409223268039
9,36276.320223880786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.35578405022943,400.0,300.0,0.0,0.0,163.296749986766,144.4801721911806,172.638246461947,185.318034195954,150.9007640465754,166.557531595817,0.0,79.11388296167787,11.196700542758675,0.0,124.03192841858484,40.14774995083879,253.1859196500968,291.30682980176664,73.63019316448919,49.613660523575184,193.479512058708,0.0,0.0,141.1789870449532,150.098872788289,87.89868412226933,195.2975619737068,0.0,107.32103599178296,211.0457635349724
10,19928.768891586522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.3605870685308,300.0,0.0,0.0,172.6346996947288,104.02220460112801,166.6364003312602,178.0143568334828,149.6644114573486,150.294576657618,251.67741615290063,5.267343007465963,51.66039017449678,0.0,13.267239809745012,14.232109166421449,33.07051832128794,118.3968246430018,48.47441380031909,101.15523696083304,37.12236932698768,163.1315471433555,73.61183609826308,214.75621274285112,0.0,111.26390786009908,202.9406981128339,0.0,50.59917332323525,0.0
